Official Name,Add_1,Add_2,Add_3,County,Ethos,DEIS,Number of Males in 2014,Number of Females in 2014,Total number of Students in 2014,xcoord,ycoord,Long,Lat,Roll_No
ST FINTANS NS,ST FINTAN N S,CARRICKBRACK RD,SUTTON,Dublin,Catholic,N,223,241,464,326806,238355,-6.09417,53.3801,19549I
ST HELENS JUNIOR N S,ST HELENS JUNIOR N S,MARTELLO,PORTMARNOCK,Dublin,Catholic,N,183,142,325,323931,244806,-6.13483,53.4388,19578P
ST PHILIP THE APOSTLE JUNIOR N S,MOUNTVIEW,BLANCHARDSTOWN,DUBLIN 15,Dublin,Catholic,Y,136,154,290,306047,238906,-6.40584,53.3897,19601H
SCOIL NAIS MHUIRE SOIS,BLAKESTOWN,MULHUDDART,DUBLIN 15,Dublin,Catholic,Y,140,137,277,306415,239765,-6.40002,53.3973,19605P
SCOIL NAIS CAITRIONA,KENURE,RUSH,CO DUBLIN,Dublin,Catholic,N,159,147,306,326074,255557,-6.09828,53.5348,19624T
Scoil R�alt na Mara,Balbriggan Road,Skerries,Co Dublin,Dublin,Catholic,N,218,222,440,324520,260559,-6.11971,53.5801,19625V
JOHN PAUL II N S,SONESTA,MALAHIDE,CO DUBLIN,Dublin,Catholic,N,338,264,602,321670,246424,-6.16821,53.4538,19627C
ST PATRICKS SENIOR SCHOOL,CORDUFF,BLANCHARDSTOWN,DUBLIN 15,Dublin,Catholic,Y,166,137,303,308006,239954,-6.37605,53.3987,19636D
ST PHILIPS  SENIOR N S,MOUNTVIEW,CLONSILLA,DUBLIN 15,Dublin,Catholic,Y,163,140,303,306025,238879,-6.40618,53.3894,19643A
ST CIARANS N S,HARTSTOWN,DUBLIN 15,,Dublin,Catholic,N,405,372,777,305108,239317,-6.41981,53.3935,19644C
RUSH NS,RUSH,CO DUBLIN,,Dublin,Catholic,N,350,375,725,325780,253950,-6.10335,53.5204,19660A
MARY QUEEN OF IRELAND N S,TOBERBURR,CO DUBLIN,,Dublin,Catholic,Y,31,37,68,313480,246057,-6.29158,53.4524,19693P
SCOIL MHUIRE SIN,BLAKESTOWN,MULHUDDART,DUBLIN 15,Dublin,Catholic,Y,150,134,284,306482,239803,-6.399,53.3976,19694R
HOLY FAMILY JUNIOR N S,FOREST FIELDS,SWORDS,CO DUBLIN,Dublin,Catholic,N,335,336,671,316836,246083,-6.24108,53.4519,19721R
SACRED HEART N S,HUNTSTOWN,MULHUDDART,DUBLIN 15,Dublin,Catholic,N,448,421,869,305798,240310,-6.40911,53.4023,19755L
ST HELENS SENIOR N S,MARTELLO,PORTMARNOCK,CO DUBLIN,Dublin,Catholic,N,121,113,234,323907,244909,-6.13515,53.4397,19762I
SCOIL THOMAIS,LAUREL LODGE,CASTLEKNOCK,DUBLIN 15,Dublin,Catholic,N,348,339,687,308005,237647,-6.37685,53.378,19769W
LADYSWELL N S,LADYSWELL,MULHUDDART,DUBLIN 15,Dublin,Catholic,Y,316,325,641,306988,240718,-6.39109,53.4058,19850F
HOLY FAMILY SENIOR N S,FOREST FIELDS,RIVER VALLEY,SWORDS,Dublin,Catholic,N,308,273,581,316844,246121,-6.24094,53.4522,19877C
GAELSCOIL AN DUINNINIGH,DRAIGHNEAN,FELTRIM SORD,CO BAILE ATHA CLIATH,Dublin,Catholic,N,163,201,364,319655,245568,-6.19886,53.4466,19898K
GAELSCOIL BHRIAN B�ROIMHE,Coill na n�ll,Sord,Co. �tha Cliath,Dublin,INTER DENOMINATIONAL,N,212,215,427,316244,248440,-6.24911,53.4732,20095C
CASTLEKNOCK EDUCATE TOGETHER NS,BEECHPARK AVENUE,CASTLEKNOCK,DUBLIN 15,Dublin,MULTI DENOMINATIONAL,N,233,203,436,308997,237865,-6.36187,53.3797,20098I
ST PATRICKS NS,St. Patrick's National School,Diswellstown Road,Castleknock,Dublin,Catholic,N,394,342,736,307391,236604,-6.38643,53.3687,20130B
MARY  MOTHER OF HOPE SENIOR NS,LITTLEPACE,CASTAHEANY,DUBLIN 15,Dublin,Catholic,N,232,244,476,304873,240535,-6.42294,53.4045,20137P
SWORDS EDUCATE TOGETHER NS,APPLEWOOD,SWORDS,CO DUBLIN,Dublin,MULTI DENOMINATIONAL,N,238,206,444,316225,248356,-6.24943,53.4724,20145O
DONABATE/PORTRANE EDUCATE TOGETHER,BALLISK COMMON,BEAVERSTOWN ROAD,DONABATE,Dublin,MULTI DENOMINATIONAL,N,262,231,493,323066,250415,-6.14564,53.4893,20161M
RUSH AND LUSK EDUCATE TOGETHER NS,Raheny Lane,Rathmore Road,LUSK,Dublin,MULTI DENOMINATIONAL,N,161,165,326,322269,254779,-6.15594,53.5287,20176C
CASTAHEANY EDUCATE TOGETHER NS,Castaheany Educate Together NS,Ongar Village,Dublin 15,Dublin,MULTI DENOMINATIONAL,Y,258,190,448,303651,239242,-6.44173,53.3932,20186F
TYRRELSTOWN EDUCATE TOGETHER NATIONAL SCHOOL,HOLLYWOOOD ROAD,TYRRELSTOWN,DUBLIN 15,Dublin,MULTI DENOMINATIONAL,N,312,269,581,307084,241686,-6.38932,53.4144,20201V
BALBRIGGAN EDUCATE TOGETHER NS,HAMLET LANE,MOYLARAGH,CO DUBLIN,Dublin,MULTI DENOMINATIONAL,Y,209,190,399,318745,263994,-6.20556,53.6123,20202A
ST BENEDICTS NATIONAL SCHOOL,ONGAR,DUBLIN 15,,Dublin,Catholic,N,301,335,636,303773,239221,-6.43991,53.3929,20231H
Scoil Choilm Community NS,Porterstown Rd,Clonsilla,Dublin 15,Dublin,MULTI DENOMINATIONAL,Y,294,254,548,305945,237362,-6.40789,53.3758,20241K
Scoil Ghrainne Community National School,Phibblestown,Dublin 15,,Dublin,MULTI DENOMINATIONAL,N,271,242,513,304111,239777,-6.43464,53.3979,20247W
GAELSCOIL BHAILE BRIGIN,Castlelands,BHAILE BRIGIN,CONTAE ATHA CLIATH,Dublin,INTER DENOMINATIONAL,N,199,202,401,320593,262715,-6.17815,53.6004,20252P
Scoil Chormaic,c/o Ardgillan Community College,Castlelands,Balbriggan,Dublin,MULTI DENOMINATIONAL,N,153,123,276,320631,262815,-6.17753,53.6013,20269J
Bracken Educate Together N.S.,Castlelands,Balbriggan,Co. Dublin,Dublin,MULTI DENOMINATIONAL,Y,224,179,403,320655,262745,-6.1772,53.6006,20282B
Thornleigh Educate Together National School,Thornleigh Green,Applewood Village,Swords,Dublin,MULTI DENOMINATIONAL,Y,143,112,255,317333,248344,-6.23275,53.4721,20302E
Skerries Educate Together National School,Barnageeragh Cove,Kellys Bay,Skerries,Dublin,MULTI DENOMINATIONAL,Y,117,120,237,323597,260869,-6.13352,53.5831,20307O
Mary Mother of Hope Junior National School,Littlepace,Castaheany,Dublin 15,Dublin,Catholic,N,245,215,460,304816,240500,-6.42381,53.4042,20309S
Gaelscoil Ros Eo,Gaelscoil Ros Eo,St Maurs GAA,Rush,Dublin,MULTI DENOMINATIONAL,N,69,64,133,325627,255232,-6.10515,53.532,20334R
Holywell Educate Together National School,Holywell Road,Nevinstown,Swords,Dublin,MULTI DENOMINATIONAL,N,174,152,326,319040,245293,-6.20821,53.4443,20348F
Hansfield Educate Together National School,Littlepace,Clonee,Dublin 15,Dublin,MULTI DENOMINATIONAL,N,83,58,141,304651.63,240544.02,-6.42627,53.4047,20383H
Powerstown Educate Together National School,Powerstown Road,Tyrrelstown,Dublin 15,Dublin,MULTI DENOMINATIONAL,N,50,45,95,307155.86,241669.76,-6.38824,53.4143,20384J
Gaelscoil an Chuilinn,B�thar Bhaile an Phaoraigh,Baile an Tirialaigh,Baile �tha Cliath 15,Dublin,INTER DENOMINATIONAL,N,24,28,52,307121.45,241682.78,-6.38875,53.4144,20394M
LUCAN B N S,LUCAN,CO DUBLIN,,Dublin,Catholic,N,489,0,489,303669,235478,-6.4427,53.3593,00714P
CLOCHAR LORETO N S,GRANGE ROAD,RATHFARNHAM,DUBLIN 14,Dublin,Catholic,N,0,527,527,314824,228129,-6.27787,53.291,00729F
BALLYROAN    B N S,BALLYROAN,RATHFARNHAM,DUBLIN 16,Dublin,Catholic,N,359,0,359,313796,227566,-6.29348,53.2862,03359N
WHITECHURCH NAT SCHOOL,WHITECHURCH,RATHFARNHAM,DUBLIN 16,Dublin,CHURCH OF IRELAND,N,64,92,156,314646,225971,-6.28132,53.2717,11638N
ST ANDREWS N S,LUCAN,CO DUBLIN,,Dublin,CHURCH OF IRELAND,N,141,138,279,303938,235560,-6.43863,53.36,12014D
HOLY FAMILY NATIONAL SCHOOL,RATHCOOLE,CO DUBLIN,,Dublin,Catholic,N,317,284,601,301724,226601,-6.47475,53.28,13217W
SCOIL MHUIRE,LUCAN,CO DUBLIN,,Dublin,Catholic,N,0,685,685,303915,235411,-6.43903,53.3587,13447Q
RATHFARNHAM PARISH N S,WASHINGTON LANE,TEMPLEOGUE,DUBLIN 14,Dublin,CHURCH OF IRELAND,N,122,111,233,313178,228326,-6.30247,53.2932,14939T
CAISLEAIN NUA LIAMHNA,NEWCASTLE LYONS,CO DUBLIN,128,Dublin,Catholic,N,218,177,395,299913,228668,-6.50124,53.2989,16461C
S N NAOMH CILLIN,"ROBINHOOD RD., BLUEBELL",INCHICORE,DUBLIN 12,Dublin,Catholic,Y,11,12,23,310272,231787,-6.34484,53.3249,16983J
S N  NAOMH MHUIRE,SAGGART,CO DUBLIN,130,Dublin,Catholic,N,240,242,482,303834,226479,-6.44317,53.2785,17055T
SCOIL CARMEL,TEACH GIUISE,TALLAGHT,DUBLIN 24,Dublin,Catholic,N,229,218,447,310942,227354,-6.33634,53.2849,17899C
S N BHAILE EAMONN,RATHFARNHAM,DUBLIN 14,114,Dublin,Catholic,N,43,47,90,313508,225593,-6.2985,53.2685,17953F
GLEN NA SMOL N S,GLEN NA SMAL,TALLAGHT,DUBLIN 24,Dublin,Catholic,N,36,40,76,309688,222907,-6.35666,53.2452,17996A
S N BRIOTAS,BRITTAS,CO DUBLIN,,Dublin,Catholic,N,55,47,102,303390,221610,-6.4514,53.2348,18173H
SCOIL LORCAIN B,PALMERSTOWN,DUBLIN 20,,Dublin,Catholic,N,371,0,371,308655,234793,-6.36807,53.3522,18323A
SCOIL BRIDE C,PALMERSTOWN,DUBLIN 20,,Dublin,Catholic,N,0,352,352,308615,234756,-6.36868,53.3519,18324C
ST MARYS SCHOOL,GREENHILLS ROAD,TALLAGHT,DUBLIN 24,Dublin,Catholic,N,175,188,363,309594,227907,-6.35635,53.2901,18411U
SCOIL MHUIRE,CLONDALKIN,DUBLIN 22,,Dublin,Catholic,N,121,242,363,307052,230913,-6.39344,53.3177,18602E
S N NAOMH EOIN,TOWER ROAD,CLONDALKIN,DUBLIN 22,Dublin,CHURCH OF IRELAND,N,43,46,89,307033,231340,-6.39358,53.3215,18642Q
SCOIL NAOMH SEOSAMH,CLONDALKIN,DUBLIN 22,,Dublin,Catholic,N,415,0,415,307012,230845,-6.39407,53.3171,18655C
ST PATRICK GNS,BALLYROAN,RATHFARNHAM,DUBLIN 16,Dublin,Catholic,N,131,365,496,313414,227547,-6.29921,53.2861,19114T
ST PETERS B N S,LIMEKILN RD,GREENHILLS,DUBLIN 12,Dublin,Catholic,N,192,0,192,311483,229584,-6.32744,53.3048,19158Q
ST PAULS G N S,GREENHILLS,KIMMAGE WEST,DUBLIN 12,Dublin,Catholic,N,0,260,260,311416,229980,-6.32831,53.3084,19159S
ST PIUS X N S BOYS,FORTFIELD PARK,TERENURE,DUBLIN 6,Dublin,Catholic,N,520,0,520,313019,229365,-6.30449,53.3025,19177U
ST PIUS X G N S,FORTFIELD PARK,TERENURE,DUBLIN 6,Dublin,Catholic,N,0,525,525,313067,229354,-6.30377,53.3024,19178W
SCOIL NAOMH IDE,CLONDALKIN,DUBLIN 22,,Dublin,Catholic,N,85,212,297,307198,230849,-6.39127,53.3171,19220S
SCOIL NAOMH AINE,CLONDALKIN,DUBLIN 22,,Dublin,Catholic,N,76,210,286,307197,230828,-6.3913,53.3169,19221U
ST MARKS SEN NS,SPRINGFIELD,TALLAGHT,DUBLIN 24,Dublin,Catholic,N,287,231,518,307602,227494,-6.38635,53.2868,19390U
SCOIL MHUIRE BOYS,GRANGE ROAD,RATHFARNHAM,DUBLIN 14,Dublin,Catholic,N,478,0,478,314477,228515,-6.28293,53.2946,19446V
SCOIL MAELRUAIN JUNIOR,OLD BAWN,TALLAGHT,DUBLIN 24,Dublin,Catholic,N,233,201,434,309273,226501,-6.36164,53.2776,19462T
SCOIL MAELRUAIN SENIOR,OLD BAWN,TALLAGHT,DUBLIN 24,Dublin,Catholic,N,189,174,363,309248,226518,-6.36201,53.2777,19463V
SN NAOMH COLMCILLE,HOMELAWNS,TALLAGHT,DUBLIN 24,Dublin,Catholic,Y,15,23,38,309629,227394,-6.356,53.2855,19464A
ST KEVINS BOYS,KILNAMANAGH,TALLAGHT,DUBLIN 24,Dublin,Catholic,N,281,0,281,309474,229120,-6.35773,53.3011,19465C
ST KEVINS GIRLS,KILNAMANAGH,TALLAGHT,DUBLIN 24,Dublin,Catholic,N,0,268,268,309457,229135,-6.35798,53.3012,19466E
ST MARKS JUNIOR N S,SPRINGFIELD,TALLAGHT,DUBLIN 24,Dublin,Catholic,N,311,255,566,307632,227479,-6.38591,53.2867,19472W
SCOIL COLMCILLE NAOFA,KNOCKLYON,TEMPLEOGUE,DUBLIN 16,Dublin,Catholic,N,396,366,762,312363,227269,-6.31507,53.2838,19474D
SCOIL MHUIRE,BALLYBODEN,DUBLIN 16,,Dublin,Catholic,Y,104,128,232,314159,226711,-6.28835,53.2784,19490B
BISHOP GALVIN NS,ORWELL PARK,TEMPLEOGUE,DUBLIN 16,Dublin,Catholic,N,259,218,477,312152,228821,-6.31768,53.2978,19494J
SCOIL AENGHUSA JUN NS,BALROTHERY,TALLAGHT,DUBLIN 24,Dublin,Catholic,Y,104,106,210,310382,228221,-6.34443,53.2928,19502F
SCOIL CHRONAIN,SRAID MOR,RATH CUIL,CO ATHA CLIATH,Dublin,Catholic,N,139,129,268,302250,226786,-6.46681,53.2815,19503H
SCOIL NANO NAGLE,BAWNOGE,CLONDALKIN,DUBLIN 22,Dublin,Catholic,Y,173,148,321,305764,231804,-6.41247,53.3259,19509T
TALBOT SENIOR NS,BAWNOGE,CLONDALKIN,DUBLIN 22,Dublin,Catholic,Y,170,149,319,305781,231796,-6.41221,53.3259,19510E
BELGARD HEIGHTS N S,SCOIL ARD MHUIRE,BELGARD HEIGHTS,TALLAGHT,Dublin,Catholic,N,197,179,376,307679,228750,-6.38477,53.2981,19541P
ST THOMAS JUNIOR NATIONAL SCHOOL,ESKER,LUCAN,CO DUBLIN,Dublin,Catholic,N,260,251,511,303339,234255,-6.44805,53.3484,19542R
SCOIL N AN CROI RO NAOFA,KILLINARDEN,TALLAGHT,DUBLIN 24,Dublin,Catholic,Y,145,137,282,307959,226362,-6.38138,53.2766,19543T
ST KILLIANS JUNIOR SCHOOL,CASTLEVIEW,TALLAGHT,DUBLIN 24,Dublin,Catholic,N,136,134,270,308738,229724,-6.36856,53.3066,19556F
SCOIL TREASA FIRHOUSE,SCOIL TREASA BALLYCULLEN AVE,FIRHOUSE,DUBLIN 24,Dublin,Catholic,N,203,184,387,310838,226868,-6.33806,53.2806,19565G
OUR LADY QUEEN OF APOSTLES,QUEEN OF APOSTLES NS,CLONBURRIS,CLONDALKIN,Dublin,Catholic,Y,287,264,551,306573,231873,-6.40031,53.3264,19566I
NEILLSTOWN N S,ST PETER APOSTLE NS,NEILLSTOWN,CLONDALKIN,Dublin,Catholic,Y,153,140,293,306570,233018,-6.39997,53.3367,19569O
MARLEY GRANGE NS,DIVINE WORD NS,MARLEY GRANGE,RATHFARNHAM,Dublin,Catholic,N,247,235,482,315215,227337,-6.27229,53.2838,19574H
ST MARYS JUNIOR N S,ROWLAGH,CLONDALKIN,DUBLIN 22,Dublin,Catholic,Y,122,110,232,306938,233745,-6.3942,53.3431,19575J
S N AENGHUSA,SCOIL N AENGHUSA SIN,BALROTHERY,TALLAGHT,Dublin,Catholic,Y,109,88,197,310345,228166,-6.345,53.2923,19576L
SCOIL IOSA,SCOIL NAIS IOSA,TYMON NORTH,TALLAGHT,Dublin,Catholic,Y,43,36,79,310697,228469,-6.33962,53.295,19577N
ST MAELRUAINS  N S,KILCLARE AVENUE,JOBSTOWN,TALLAGHT,Dublin,CHURCH OF IRELAND,Y,51,41,92,307291,226973,-6.39119,53.2822,19582G
SCOIL CNOC MHUIRE SIN,KNOCKMORE AVE,KILLINARDEN,TALLAGHT,Dublin,Catholic,Y,67,62,129,307291,226219,-6.39144,53.2755,19613O
ST MARTIN DE PORRES N S,AYLESBURY,OLD BAWN,TALLAGHT,Dublin,Catholic,N,224,237,461,308685,226179,-6.37057,53.2748,19617W
ST PAULS JUN NS,GREENHILLS,WALKINSTOWN,DUBLIN 12,Dublin,Catholic,N,0,230,230,311473,230007,-6.32744,53.3086,19623R
ST PETER APOSTLE SEN NS,NEILLSTOWN,CLONDALKIN,DUBLIN 22,Dublin,Catholic,Y,135,104,239,306491,233016,-6.40115,53.3367,19642V
SCOIL SANTAIN,BOTHAR NA HABHANN MOR,TAMHLACHT,ATH CLIATH 24,Dublin,Catholic,Y,162,208,370,310263,227227,-6.34656,53.2839,19646G
ST MARYS SEN N S,ROWLAGH,CLONDALKIN,DUBLIN 22,Dublin,Catholic,Y,122,103,225,306861,233690,-6.39537,53.3426,19647I
AN CHROI RO NAOFA SOIS,KILLINARDEN,TALLAGHT,DUBLIN 24,Dublin,Catholic,Y,144,140,284,307994,226356,-6.38086,53.2765,19652B
BISHOP SHANAHAN NS,ORWELL PARK,TEMPLEOGUE,DUBLIN 16,Dublin,Catholic,N,236,222,458,312165,228862,-6.31747,53.2982,19658N
SCOIL AINE NAOFA,ESKER,LUCAN,CO DUBLIN,Dublin,Catholic,N,276,275,551,303364,234304,-6.44766,53.3489,19676P
ST THOMAS JUNIOR N S,JOBSTOWN,TALLAGHT,DUBLIN 24,Dublin,Catholic,Y,222,210,432,306481,226548,-6.40347,53.2786,19702N
ST RONANS N S,DEANSRATH,CLONDALKIN,DUBLIN 22,Dublin,Catholic,Y,237,208,445,304913,231461,-6.42535,53.323,19707A
ST COLMCILLE SENIOR N S,KNOCKLYON,DUBLIN 16,,Dublin,Catholic,N,359,337,696,312320,227330,-6.31569,53.2844,19742C
ST BERNADETTES JUNIOR N S,QUARRYVALE,CLONDALKIN,DUBLIN 22,Dublin,Catholic,Y,118,118,236,306740,234439,-6.39694,53.3494,19743E
ST THOMAS SENIOR N S,JOBSTOWN,TALLAGHT,DUBLIN 24,Dublin,Catholic,Y,248,208,456,306560,226556,-6.40229,53.2786,19765O
SCOIL CNOC MHUIRE JUNIOR,KNOCKMORE AVE,KILLINARDEN,TALLAGHT,Dublin,Catholic,Y,102,79,181,307327,226232,-6.3909,53.2756,19775R
ST BRIGIDS N S,BROOKFIELD,TALLAGHT,DUBLIN 24,Dublin,Catholic,Y,162,169,331,306468,227476,-6.40336,53.2869,19782O
ST BERNADETTES SENIOR N S,QUARRYVALE,CLONDALKIN,DUBLIN 22,Dublin,Catholic,Y,101,118,219,306775,234524,-6.39638,53.3502,19785U
SACRED HEART N S,SRULEEN,CLONDALKIN,DUBLIN 22,Dublin,Catholic,N,232,206,438,306542,230523,-6.40122,53.3143,19799I
ST MARYS N S,WOODVIEW,ESKER,LUCAN,Dublin,Catholic,N,219,196,415,302121,234487,-6.46626,53.3507,19817H
ST AIDANS NS,BROOKFIELD,TALLAGHT,DUBLIN 24,Dublin,Catholic,Y,166,151,317,306447,227390,-6.4037,53.2861,19834H
GAELSCOIL CHLUAIN DOLCAIN,BOTHAR NANGOR,CLUAIN DOLCAIN,BAILE ATHA CLIATH 22,Dublin,Catholic,N,148,141,289,306508,231542,-6.40139,53.3234,19855P
DIVINE MERCY JUNIOR NATIONAL SCHOOL,BALGADDY,LUCAN,CO DUBLIN,Dublin,Catholic,N,286,270,556,305571,233403,-6.41483,53.3403,19865S
SCOIL CHAITLIN MAUDE,CNOC MHUIRE,TAMHLACHT,BAILE ATHA CLIATH 24,Dublin,Catholic,Y,126,147,273,307236,226267,-6.39225,53.2759,19872P
Holy Rosary Primary School,Old Court Avenue,Tallaght,,Dublin,Catholic,Y,346,271,617,310214,226011,-6.34771,53.273,19878E
ST KILIANS SENIOR N S,CASTLEVIEW,TALLAGHT,DUBLIN 24,Dublin,Catholic,N,108,100,208,308683,229656,-6.36941,53.306,19893A
GAELSCOIL NAOMH PADRAIG,LEAMHCAN,CO BAILE ATHA CLIATH,,Dublin,Catholic,N,252,229,481,304234,234493,-6.43454,53.3504,19940G
ST DAMIENS NS,QUARRY DRIVE,PERRYSTOWN,DUBLIN 12,Dublin,Catholic,N,163,84,247,311933,230616,-6.32033,53.314,19943M
ST DOMINICS N S,TALLAGHT,DUBLIN 24,,Dublin,Catholic,Y,103,116,219,309598,227412,-6.35646,53.2857,19950J
GAELSCOIL NA CAMOIGE,ARAS CHRONAIN,BOTHAR AN ULLOIRD,CLUAIN DOLCAIN,Dublin,Catholic,N,100,131,231,307135,231554,-6.39198,53.3234,19991A
GAELSCOIL CHNOC LIAMHNA,HALLA NA NGASOGA,BOTHAR CNOC LIAMHNA,BAILE ATHA CLIATH 16,Dublin,Catholic,N,112,118,230,311646,227299,-6.3258,53.2843,20043G
LUCAN EDUCATE TOGETHER NS,"BEWLEY WAY,","WILLSBROOK,","LUCAN,",Dublin,MULTI DENOMINATIONAL,N,254,194,448,304901,234572,-6.4245,53.351,20066S
GRIFFEEN VALLEY EDUCATE TOGETHER NS,"GRIFFEEN GLEN BOULEVARD,",LUCAN,CO. DUBLIN.,Dublin,MULTI DENOMINATIONAL,N,222,221,443,304370,233462,-6.43284,53.3411,20166W
ST ANNES PRIMARY SCHOOL,FETTERCAIRN,TALLAGHT,DUBLIN 24,Dublin,Catholic,Y,217,221,438,307280,227884,-6.39105,53.2904,20173T
DIVINE MERCY SENIOR NATIONAL SCHOOL,BALGADDY,LUCAN,CO DUBLIN,Dublin,Catholic,N,307,304,611,305507,233324,-6.41582,53.3396,20187H
St. John the Evangelist National School,ADAMSTOWN,CO DUBLIN,,Dublin,Catholic,N,190,182,372,302578,232863,-6.45993,53.3361,20194E
GAELSCOIL EISCIR RIADA,B�THAR AN GHRIF�N,LEAMHC�N,CO �THA CLIATH,Dublin,Catholic,N,225,231,456,304157,234218,-6.43579,53.3479,20223I
Adamstown Castle Educate Together National School,Adamstown Castle,Adamstown,Co. Dublin,Dublin,MULTI DENOMINATIONAL,N,170,153,323,302637,232858,-6.45904,53.336,20268H
Esker Educate Together N.S.,Adamstown Castle,Adamstown,County Dublin,Dublin,MULTI DENOMINATIONAL,Y,214,159,373,302636,232844,-6.45906,53.3359,20274C
Lucan East ETNS,Kishogue Cross,Off Griffeen Avenue,Lucan,Dublin,MULTI DENOMINATIONAL,Y,222,194,416,304462,233127,-6.43157,53.3381,20303G
Scoil Niamh Community National School,Fortunestown Lane,City West,Dublin 24,Dublin,MULTI DENOMINATIONAL,N,48,44,92,304275.79,227085.97,-6.43635,53.2838,20398U
City West Educate Together National School,City West,Co Dublin,,Dublin,MULTI DENOMINATIONAL,N,47,45,92,304275.79,227086.66,-6.43635,53.2838,20402I
Firhouse Educate Together National School,c/o Tymon Bawn Community Centre,Tallaght,Dublin 24,Dublin,MULTI DENOMINATIONAL,N,8,13,21,309005.18,226247.6,-6.36575,53.2754,20411J
Gaelscoil na Gi�ise,Ionad Pobail Theach na Gi�ise,C�ide Bhaile U� Chuilinn,Teach na Gi�ise,Dublin,MULTI DENOMINATIONAL,N,3,3,6,310870.32,226435.48,-6.33773,53.2767,20412L
Scoil Oscair,Tor na R� Walk,Balgaddy Road,Lucan,Dublin,MULTI DENOMINATIONAL,N,8,5,13,305291.12,233237.11,-6.41909,53.3389,20426W
