Scheme/Project Name,Funding Programme,LA ,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre-Planning ,Stage 3 Pre-Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,Site Start,Practical Completion
"Rathmullen Road, Drogheda",CALF CONSTRUCTION TURNKEY,Louth,35,North & East Housing Association,,,,Approval of turnkey/construction project Q4 2016,,
Cox's Dimesne Phase 2a,REGENERATION,Louth,14,*N/A,,,,,,Scheme completed in Q4 2016
Cox's Dimesne Phase 2b,REGENERATION,Louth,7,*N/A,The scheme was Stage 1 approved in Q3 2013 outline design and costs now being prepared,,,,,
"Tierney Street, Ardee",CAS CONSTRUCTION,Louth ,7,Oaklee Housing Trust,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Barrack Street, Dundalk",CAS CONSTRUCTION,Louth ,10,Dundalk Simon Community,The scheme was Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
"Clontygora, Dundalk",CAS CONSTRUCTION,Louth ,11,Cluid Housing Association,The scheme was Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
"McArdle Green (Moneymore), Drogheda ",CAS CONSTRUCTION,Louth ,1,"North & East Housing 
Association",,,The scheme was Stage 3 approved in Q4 2016 scheme now being tendered,,,
"Tredagh View, Drogheda",CAS CONSTRUCTION,Louth ,1,Respond!  ,,,,,Scheme started on site in Q3 2016,
"Saltown, Dundalk",CAS CONSTRUCTION,Louth ,7,"North & East Housing 
Association",The scheme was Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
Boice Court (Phase 2),SHIP CONSTRUCTION,Louth ,23,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
Boice Court (Phase 3),SHIP CONSTRUCTION,Louth ,20,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
Father Finn Park (Phase 2),SHIP CONSTRUCTION,Louth ,20,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Woodlands, Dunleer",SHIP CONSTRUCTION,Louth ,4,*N/A,,,,,,Scheme completed in Q3 2016
Dundalk derelict units,SHIP CONSTRUCTION,Louth ,17,*N/A,,,,,Scheme started on site in Q3 2016,
Dundalk derelict units,SHIP CONSTRUCTION,Louth ,7,*N/A,,,,,,Scheme completed in Q4 2016
Drogheda derelict units,SHIP CONSTRUCTION,Louth ,12,*N/A,,,,The scheme was approved in Q1 2016 - scheme is now fully approved,,
"55/57 Bothar Brugha, Drogheda",SHIP CONSTRUCTION,Louth ,3,*N/A,,,,The scheme was approved in Q3 2016 - scheme is now fully approved,,
 Ballina area,CALF CONSTRUCTION TURNKEY,Mayo,11,Cluid Housing Association,,,,Approval of turnkey/construction project Q4 2016,,
"Killosheehan, Ballinrobe",CAS CONSTRUCTION,Mayo,6,"Society of Saint Vincent 
de Paul",,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
"Tubberhill, Westport (Phase 2)",SHIP CONSTRUCTION,Mayo ,21,*N/A,,,,,Scheme started on site in Q3 2016,
"Marian Crescent, Ballina",SHIP CONSTRUCTION,Mayo ,4,*N/A,,The scheme was Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
"Knockmore, Ballina ",SHIP CONSTRUCTION,Mayo ,8,*N/A,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
"Kilkelly Road, Knock (Phase 3)",SHIP CONSTRUCTION,Mayo ,4,*N/A,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
Kilmeena (Phase 2) ,SHIP CONSTRUCTION,Mayo ,4,*N/A,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
"Barhauve, Rossport",SHIP CONSTRUCTION,Mayo ,1,*N/A,,,,,Scheme started on site in Q4 2016,
"Claggaun, Ballycroy",SHIP CONSTRUCTION,Mayo ,1,*N/A,,,,,Scheme started on site in Q4 2016,
"Glengad, Pollatomish",SHIP CONSTRUCTION,Mayo ,1,*N/A,,,,,Scheme started on site in Q4 2016,
"Gorthbrack, Inver",SHIP CONSTRUCTION,Mayo ,1,*N/A,,,,,Scheme started on site in Q4 2016,
SRDs,SHIP CONSTRUCTION,Mayo ,8,*N/A,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Knocknageeha, Newport",SHIP CONSTRUCTION,Mayo ,1,*N/A,,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
"Admiral Browne Rd., Foxford",CAS CONSTRUCTION,Mayo  ,8,"Society of Saint Vincent 
de Paul",,,,,,Scheme completed in Q3 2016
"Irishtown, Foxford",CAS CONSTRUCTION,Mayo  ,4,"Society of Saint Vincent 
de Paul",,,The scheme was Stage 3 approved in Q3 2016 scheme now being tendered,,,
"Logmore, Belmullet",CAS CONSTRUCTION,Mayo  ,7,Irish Wheelchair Association,,,,,Scheme started on site in Q4 2015,
"Tubberclaire, Navan",CALF CONSTRUCTION TURNKEY,Meath,23,Cluid Housing Association,,,,,,Scheme completed in Q3 2016
"Grangehall, Dunshaughlin",CALF CONSTRUCTION TURNKEY,Meath,7,The Housing Association,,,,Approval of turnkey/construction project Q3 2016,,
" Ashbourne area, Co Meath",CALF CONSTRUCTION TURNKEY,Meath,67,Cluid Housing Association,,,,,Scheme started on site in Q4 2016,
Meath,CALF CONSTRUCTION TURNKEY,Meath,24,Oaklee Housing Trust,,,,Approval of turnkey/construction project Q4 2016,,
Bettystown (Phase 1),SHIP CONSTRUCTION,Meath,16,*N/A,,,,,Scheme started on site in Q2 2016,
Bettystown (Phase 2),SHIP CONSTRUCTION,Meath,12,*N/A,The scheme was Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
"Cherry Court, Summerhill",SHIP CONSTRUCTION,Meath,19,*N/A,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
" Riverside, Kells ",SHIP CONSTRUCTION,Meath,40,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Connaught Grove, Athboy",SHIP CONSTRUCTION,Meath,32,*N/A,,,The scheme was Stage 3 approved in Q3 2016 scheme now being tendered,,,
Ratoath,SHIP CONSTRUCTION,Meath,17,*N/A,The scheme was Stage 1 approved in Q2 2016 outline design and costs now being prepared,,,,,
"Mill Lane, Flower Hill, Navan, Co Meath",CALF CONSTRUCTION TURNKEY,Meath ,20,Oaklee Housing Trust,,,,,,Scheme completed in Q1 2016
"Liseggerton Road, Clones",CALF CONSTRUCTION,Monaghan,6,Oaklee Housing Trust,,,,Approval of turnkey/construction project Q4 2014,,
"Magheross, Carrickmacross",CALF CONSTRUCTION TURNKEY,Monaghan,33,The Housing Association,,,,Approval of turnkey/construction project Q2 2016,,
"Convent Lands, Carrickmacross",CAS CONSTRUCTION,Monaghan,7,Respond!  ,,,,,Scheme started on site in Q1 2016,
"Liseggerton, Clones",CAS CONSTRUCTION,Monaghan,16,Oaklee Housing Trust,The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
"Latlorcan, Monaghan Town",SHIP CONSTRUCTION,Monaghan,20,*N/A,The scheme was Stage 1 approved in Q2 2015 - Scheme delayed by legal challenge,,,,,
"Bree, Castleblayney",SHIP CONSTRUCTION,Monaghan ,8,*N/A,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
"The Meadows, Smithborough, Monaghan",SHIP CONSTRUCTION TURNKEY,Monaghan ,5,*N/A,,,,,Scheme started on site in Q2 2016,
"Drumbear Wood, Monaghan Town",SHIP CONSTRUCTION TURNKEY,Monaghan ,12,*N/A,,,,,Scheme started on site in Q4 2016,
"Knockroe Glen, Monaghan Town",SHIP CONSTRUCTION TURNKEY,Monaghan ,22,*N/A,,,,,Scheme started on site in Q4 2016,
"Railway View, Kilnacloy, Monaghan Town",SHIP CONSTRUCTION TURNKEY,Monaghan ,16,*N/A,,,,Approval of turnkey/construction project Q3 2016,,
"Scurragh, Birr",CAS CONSTRUCTION,Offaly,6,Cluid Housing Association,,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
"Killane Drive, Edenderry",CAS CONSTRUCTION,Offaly,2,The Housing Association,,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
"Blundell Wood, Edenderry",SHIP CONSTRUCTION,Offaly,33,*N/A,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
"Chancery Lane, Tullamore",SHIP CONSTRUCTION,Offaly,18,*N/A,The scheme was Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
Athlone,CALF CONSTRUCTION TURNKEY,Roscommon,14,Cluid Housing Association,,,,Approval of turnkey/construction project Q1 2016,,
Additional units Athlone area,CALF CONSTRUCTION TURNKEY,Roscommon,40,Cluid Housing Association,,,,Approval of turnkey/construction project Q4 2016,,
"Monksland, Athlone",SHIP CONSTRUCTION TURNKEY,Roscommon ,10,*N/A,,,,Approval of turnkey/construction project Q3 2016,,
"""Shermac"" Tonaphubble",CAS CONSTRUCTION,Sligo,6,Newgrove Housing Association Ltd,The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
Fr Flanagan Tce.,SHIP CONSTRUCTION,Sligo,22,*N/A,,,,The scheme was Stage 4 approved in Q2 2016 scheme is now fully approved,,
"Carrowbunnaun, Strandhill",SHIP CONSTRUCTION,Sligo,20,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Caltragh, Culleens",SHIP CONSTRUCTION,Sligo,1,*N/A,,The scheme was Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
Knappagh Road,SHIP CONSTRUCTION,Sligo,28,*N/A,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
Colloney,SHIP CONSTRUCTION,Sligo,13,*N/A,The scheme was Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
Rosses Point ,SHIP CONSTRUCTION,Sligo ,14,*N/A,The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
"Station Road, Clondalkin, Co. Dublin",CALF CONSTRUCTION TURNKEY,South Dublin,5,Respond!,,,,,Scheme started on site in Q2 2016,
"1 Hollyville Terrace, Palmerston",CAS CONSTRUCTION,South Dublin,2,Cluid Housing Association,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Old Nangor Road, Clondalkin",CAS CONSTRUCTION,South Dublin,10,"Dublin Simon 
Community",,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
"Collinstown Grove, Clondalkin",CAS CONSTRUCTION,South Dublin,4,The Housing Association,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Suncroft, Tallaght",SHIP CONSTRUCTION,South Dublin,10,*N/A,,,,,,Scheme completed in Q4 2016
"Belgard Road, Tallagh",SHIP CONSTRUCTION,South Dublin,3,*N/A,,,,,,Scheme completed in Q1 2016
St Finians,SHIP CONSTRUCTION,South Dublin,2,*N/A,,,,,,Scheme completed in Q3 2016
"St Marks Green, Clondalkin",SHIP CONSTRUCTION,South Dublin,11,*N/A,,,,The scheme was Stage 4 approved in Q4 2016 scheme is now fully approved,,
Fortunestown (MacUilliam),SHIP CONSTRUCTION,South Dublin,28,*N/A,,,The scheme was Stage 3 approved in Q3 2016 scheme now being tendered,,,
Mayfield Estate,SHIP CONSTRUCTION,South Dublin,18,*N/A,,,,The scheme was Stage 4 approved in Q4 2016 scheme is now fully approved,,
"Dromcarra, Tallaght",SHIP CONSTRUCTION,South Dublin,14,*N/A,,,The scheme was Stage 3 approved in Q4 2016 scheme now being tendered,,,
"Letts Field, Neilstown, Clondalkin",SHIP CONSTRUCTION,South Dublin,37,*N/A,,,The scheme was Stage 3 approved in Q4 2016 scheme now being tendered,,,
"Ballyboden,  Rathfarnham",SHIP CONSTRUCTION,South Dublin,40,*N/A,,The scheme was Stage 2 approved in Q1 2016 full design/tender being prepared,,,,
Balgaddy F,SHIP CONSTRUCTION,South Dublin,50,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"St. Marks Avenue, Clondalkin ",SHIP CONSTRUCTION,South Dublin,39,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Killinarden, Tallaght",SHIP CONSTRUCTION,South Dublin,28,*N/A,,,The scheme was Stage 3 approved in Q4 2016 scheme now being tendered,,,
"St Aidan's,  Brookfield Tallaght",SHIP CONSTRUCTION RAPID,South Dublin,85,*N/A,,The scheme was Stage 2 approved in Q4 2016 design/tender being prepared,,,,
Fethard,CAS CONSTRUCTION,Tipperary,4,Brothers of Charity/Belmount Park Housing Association Ltd. ,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Glenconnor Road, Clonmel",CAS CONSTRUCTION,Tipperary,9,Cluid Housing Association,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Ballinagrana (3), The Strand (3) & Castle Street, Carrick on Suir",CAS CONSTRUCTION,Tipperary,7,Camphill Communities of Ireland,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Two houses, Borrisoleigh",SHIP CONSTRUCTION,Tipperary,2,*N/A,,,,,,Scheme completed in Q4 2016
"Lacey Avenue, Templemore",SHIP CONSTRUCTION,Tipperary,4,*N/A,,,,,,Scheme completed in Q4 2016
"Mitchels St., Thurles",SHIP CONSTRUCTION,Tipperary,1,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Gortataggart, Thurles",SHIP CONSTRUCTION,Tipperary,2,*N/A,,,,,Scheme started on site in Q4 2016,
"Kilcooly Way, Gortnahoe",SHIP CONSTRUCTION,Tipperary,5,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
Cloughjordan,SHIP CONSTRUCTION,Tipperary,3,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Waller's Lot, Cashel",SHIP CONSTRUCTION,Tipperary,10,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Glenconnor Road, Clonmel",SHIP CONSTRUCTION,Tipperary,20,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
Borrisoleigh,SHIP CONSTRUCTION,Tipperary,12,*N/A,The scheme was Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
Templetouhy,SHIP CONSTRUCTION,Tipperary,6,*N/A,The scheme was Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
Lower Ballingarry,SHIP CONSTRUCTION,Tipperary,1,*N/A,,,,,,Scheme completed in Q2 2016
"Poulamaleen, Faugheen",SHIP CONSTRUCTION,Tipperary,1,*N/A,,,,,,Scheme completed in Q2 2016
"Glencarrick, Roscrea",SHIP CONSTRUCTION,Tipperary,10,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"St Johns College, Waterford",CALF CONSTRUCTION,Waterford,36,Respond!,,,,,,Scheme completed in Q1 2016
"Estuary Heights, Shandon Road, Dungarvan",CALF CONSTRUCTION TURNKEY,Waterford,20,Co-operative Ireland,,,,Approval of turnkey/construction project Q3 2016,,
"The Paddocks, Williamstown Rd. Waterford",CAS CONSTRUCTION,Waterford,6,Anvers Housing Association,,The scheme was Stage 2 approved in Q4 2015 full design/tender being prepared,,,,
"Ballycarnane, Tramore",CAS CONSTRUCTION,Waterford,18,Tramore Voluntary Housing association,The scheme was Stage 1 approved in Q3 2014 outline design and costs now being prepared,,,,,
"Gleann Ealach, Dunhill",CAS CONSTRUCTION,Waterford,8,Gleann Ealach Housing Assoc,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Wadding Manor, Ferrybank",CAS CONSTRUCTION,Waterford,10,Respond!  ,,The scheme was Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
"Powersfield, Hennessys Road, Waterford",CAS CONSTRUCTION,Waterford,3,Focus Ireland,,The scheme was Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
"Clarendon Court, Waterford City",CAS CONSTRUCTION,Waterford,10,Cluid Housing Association,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Old Cinema Site, Dungarvan",SHIP CONSTRUCTION,Waterford,15,*N/A,,,,,,Scheme completed in Q4 2016
"Ardmore Park/Priory Lawn, Waterford City",SHIP CONSTRUCTION,Waterford,8,*N/A,,The scheme was Stage 2 approved in Q4 2015 full design/tender being prepared,,,,
"Larchville, Waterford City",SHIP CONSTRUCTION,Waterford,5,*N/A,,The scheme was Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
"Patrick Street, Tramore",SHIP CONSTRUCTION,Waterford,2,*N/A,,,,,Scheme started on site in Q4 2016,
"Barrack Street, Cappoquin",SHIP CONSTRUCTION,Waterford,4,*N/A,,,,,Scheme started on site in Q4 2016,
"Coolfin Woods, Portlaw",SHIP CONSTRUCTION,Waterford,12,*N/A,,The scheme was Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
"Ballinroad, Dungarvan",SHIP CONSTRUCTION,Waterford,20,*N/A,,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
"Alms Houses, Tallow",SHIP CONSTRUCTION,Waterford,4,*N/A,,,The scheme was Stage 3 approved in Q4 2016 scheme now being tendered,,,
"An Garran, Tramore",SHIP CONSTRUCTION,Waterford,32,*N/A,The scheme was Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
"Doyle Street, Waterford City",SHIP CONSTRUCTION,Waterford,4,*N/A,The scheme was Stage 1 approved in Q1 2014 outline design and costs now being prepared,,,,,
"Springfield, Mullingar",CAS CONSTRUCTION,Westmeath,12,The Housing Association,The scheme was Stage 1 approved in Q1 2014 outline design and costs now being prepared,,,,,
"Canal Avenue, Mullingar ",CAS CONSTRUCTION,Westmeath,9,The Housing Association,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"St. Anne's Chapel Street, Athlone",CAS CONSTRUCTION,Westmeath,4,Respond!  ,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Farran, Mullingar  ",CAS CONSTRUCTION,Westmeath,3,The Housing Association,The scheme was Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
Ennell court (Phase 2),SHIP CONSTRUCTION,Westmeath,3,*N/A,,,,,,Scheme completed in Q2 2016
16 Ennell Court,SHIP CONSTRUCTION,Westmeath,1,*N/A,,,The scheme was Stage 3 approved in Q4 2016 scheme now being tendered,,,
"Grange Crescent, Mullingar",SHIP CONSTRUCTION,Westmeath,2,*N/A,,,,,,Scheme completed in Q1 2016
"Clonbrusk, Athlone (Arcadia)  Site No. 2",SHIP CONSTRUCTION,Westmeath,33,*N/A,,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
"St. Laurence's Terrace, Mullingar",SHIP CONSTRUCTION,Westmeath,9,*N/A,,The scheme was Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
"Bun Daire, Kinnegad (Phase 3)",SHIP CONSTRUCTION,Westmeath,28,*N/A,The scheme was Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
 Wexford town,CALF CONSTRUCTION,Wexford,39,Cluid Housing Association,,,,Approval of turnkey/construction project Q4 2016,,
"10 Hunters Green, Gorey",CALF CONSTRUCTION TURNKEY,Wexford,18,Co-operative Ireland,,,,,,Scheme completed in Q2 2016
"Hunters Green, Gorey",CALF CONSTRUCTION TURNKEY,Wexford,20,Co-operative Ireland,,,,,Scheme started on site in Q1 2015,
Wexford,CALF CONSTRUCTION TURNKEY,Wexford,28,Oaklee Housing Trust,,,,Approval of turnkey/construction project Q4 2016,,
Enniscorthy,CALF CONSTRUCTION TURNKEY,Wexford,40,Oaklee Housing Trust,,,,Approval of turnkey/construction project Q4 2016,,
Rathangan,CAS CONSTRUCTION,Wexford,7,Rathangan Senior Citizens Housing Association,,,,,Scheme started on site in Q1 2016,
"Westlands, Wexford",CAS CONSTRUCTION,Wexford,7,Respond!  ,The scheme was Stage 1 approved in Q3 2014 outline design and costs now being prepared,,,,,
Barrystown,CAS CONSTRUCTION,Wexford,16,Grantstown Voluntary Housing Association,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Shanna Court, Coolcotts ",SHIP CONSTRUCTION,Wexford,8,*N/A,,,,,,Scheme completed in Q1 2016
"Baile an Tr , Riverchapel (Courtown Ardamine)",SHIP CONSTRUCTION,Wexford,10,*N/A,,,,,,Scheme completed in Q2 2016
"Francis Street, Wexford ",SHIP CONSTRUCTION,Wexford,1,*N/A,,,,,Scheme started on site in Q3 2016,
"Baile Eoghain, Gorey",SHIP CONSTRUCTION,Wexford,9,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Killeens, Wexford",SHIP CONSTRUCTION,Wexford,14,*N/A,The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
"Cherryorchard, Enniscorthy",SHIP CONSTRUCTION,Wexford,8,*N/A,The scheme was Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
Oylegate,SHIP CONSTRUCTION,Wexford,2,*N/A,,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
"Ross Road, Enniscorthy",SHIP CONSTRUCTION,Wexford,1,*N/A,,The scheme was Stage 2 approved in Q1 2016 full design/tender being prepared,,,,
"Clonard, Wexford",SHIP CONSTRUCTION,Wexford,26,*N/A,The scheme was Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
"Whiterock Hill, Wexford",SHIP CONSTRUCTION,Wexford,36,*N/A,The scheme was Stage 1 approved in Q2 2016 outline design and costs now being prepared,,,,,
Danescastle,SHIP CONSTRUCTION,Wexford,12,*N/A,The scheme was Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
"Creagh, Gorey",SHIP CONSTRUCTION,Wexford,10,*N/A,The scheme was Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
5 Mountain View,SHIP CONSTRUCTION,Wexford,1,*N/A,The scheme was Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
41 St Martins Park,SHIP CONSTRUCTION,Wexford,1,*N/A,The scheme was Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
"Slippery Green, Wexford",SHIP CONSTRUCTION,Wexford,10,*N/A,The scheme was Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
Meadowfields (Pt.V),CALF CONSTRUCTION,Wexford,12,*N/A,,,,,,Scheme completed in Q2 2016
Cois Mara,SHIP CONSTRUCTION,Wexford ,2,*N/A,The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
"Madeira Oaks, Wexford",SHIP CONSTRUCTION TURNKEY,Wexford ,8,*N/A,,,,,Scheme started on site in Q1 2016,
"Vale Road, Arklow, Co. Wicklow",CALF CONSTRUCTION TURNKEY,Wicklow,36,Co-operative Ireland,,,,Approval of turnkey/construction project Q4 2016,,
"Brewery Bends, Rathdrum (Phase 2)",SHIP CONSTRUCTION,Wicklow,20,*N/A,,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
"Kilbride Lane, Bray (Murphy's Lands)",SHIP CONSTRUCTION,Wicklow,42,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Farrankelly, Greystones (Phase 2)",SHIP CONSTRUCTION,Wicklow ,15,*N/A,The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
"O'Byrne Road, Bray",SHIP CONSTRUCTION,Wicklow ,1,*N/A,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
"Emoclew Road, Arklow (Phase 1)",SHIP CONSTRUCTION,Wicklow ,17,*N/A,,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
"Emoclew Road, Arklow (Phase 2)",SHIP CONSTRUCTION,Wicklow ,20,*N/A,The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
"Sugarloaf View, Kilmacanogue",SHIP CONSTRUCTION,Wicklow ,20,*N/A,The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
"FCA Hall, Wicklow Town",SHIP CONSTRUCTION,Wicklow ,8,*N/A,,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
"Kilmantain Place, Bray",SHIP CONSTRUCTION,Wicklow ,4,*N/A,,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
"Ard Na Mara, Kilcoole",SHIP CONSTRUCTION,Wicklow ,2,*N/A,,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
"Druids Brook, Kilcoole",SHIP CONSTRUCTION,Wicklow ,2,*N/A,,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
"Old Library, Arklow",SHIP CONSTRUCTION,Wicklow ,7,*N/A,,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
