Station,ID Number,Divisions,Murder / Assaults / Harassments and related offences 2014,Attempts or threats to murder/ assaults/ harassments and related offences 2015,Dangerous or negligent acts 2015,Robbery/ extortion and hijacking offences 2015,Burglary and related offences 2014,Burglary and related offences 2015,Theft and related offences 2015,Fraud/ deception and related offences 2015,Controlled drug offences 2015,Weapons and Explosives Offences 2014,Weapons and Explosives Offences 2015,Damage to property and to the environment 2015,Public order and other social code offences 2015,Offences against government/ justice procedures and organisation of crime 2015
Abbeyfeale,20441, Limerick Division ,19,19,9,0,36,27,49,5,10,5,5,25,34,0
Abbeyleix,20117, Laois/Offaly Division ,12,13,9,0,54,53,53,8,9,0,0,19,16,5
Adare,20424, Limerick Division ,1,4,8,0,16,19,12,1,1,0,0,3,6,2
Aglish,20217, Waterford Division ,3,3,1,1,5,4,5,0,4,0,0,4,1,0
Ahascragh,20522, Galway Division ,4,10,1,0,4,2,2,5,1,0,0,8,3,0
Ailt an Chorrain,20700, Donegal Division ,5,4,1,0,0,3,3,0,1,0,1,4,2,0
An Bun Beag,20649, Donegal Division ,12,11,5,0,6,9,10,0,1,0,0,13,9,2
An Charraig,20653, Donegal Division ,2,2,0,0,2,0,1,0,0,0,0,6,0,1
An Cheathru Rua,20500, Galway Division ,8,11,8,0,2,2,7,1,0,0,0,8,12,2
An Clochan Liath,20652, Donegal Division ,23,20,4,1,2,4,14,0,0,0,0,4,19,0
An Coirean,20393, Kerry Division ,5,9,4,0,11,5,7,0,0,0,0,2,0,1
An Craoslach,20642, Donegal Division ,2,1,2,0,2,0,1,1,0,0,0,6,2,0
An Fál Carrach,20643, Donegal Division ,7,5,6,0,2,2,8,0,1,0,1,4,11,0
An Maim,20488, Galway Division ,3,6,8,1,5,5,15,1,2,6,1,4,7,0
An Rinn,20218, Waterford Division ,0,1,2,0,4,4,6,1,2,0,0,3,2,0
An Spideal,20503, Galway Division ,3,1,1,0,1,1,5,0,1,0,0,7,6,0
Anglesea Street,20288, Cork City Division ,205,219,46,21,78,94,1060,80,109,21,23,161,980,262
Annascaul,20383, Kerry Division ,0,0,1,0,1,5,1,0,1,0,0,1,0,0
Aran Mor,20476, Galway Division ,30,33,37,5,60,44,121,17,22,5,2,38,52,7
Ard An Rátha,20648, Donegal Division ,3,5,1,0,2,3,2,1,1,0,0,6,2,0
Ardee,2079, Louth Division ,30,26,13,5,69,60,104,11,4,1,2,54,22,11
Ardfert,20378, Kerry Division ,6,10,10,0,10,8,6,0,2,0,0,4,15,0
Ardfinnan,20259, Tipperary Division ,3,3,3,0,7,4,7,0,0,0,1,7,0,3
Ardmore,20334, Waterford Division ,6,3,5,0,5,16,7,1,1,1,0,3,6,0
Ardnacrusha,20414, Limerick Division ,13,17,7,2,30,30,88,5,7,1,2,51,27,15
Ardrahan,20508, Galway Division ,2,2,5,0,12,5,15,3,1,0,0,2,0,0
Arklow,20183, Wicklow Division ,72,70,38,8,102,112,244,9,55,9,10,72,150,31
Arles,20122, Laois/Offaly Division ,3,2,0,0,33,16,27,0,3,0,0,9,2,3
Arva,20677, Cavan/Monaghan Division ,6,3,3,0,4,7,12,4,2,2,0,2,12,2
Ashbourne,2077, Meath Division ,59,56,35,8,118,104,311,33,42,3,2,48,83,17
Ashford,20200, Wicklow Division ,16,33,16,0,47,23,96,3,23,3,2,23,8,1
Askeaton,20423, Limerick Division ,2,9,2,0,10,12,38,2,6,0,3,9,10,5
Athea,20444, Limerick Division ,3,0,0,0,10,5,11,0,3,0,0,3,4,0
Athenry,20480, Galway Division ,20,12,11,0,22,25,33,3,7,0,0,10,10,1
Athleague,20515, Roscommon/Longford Division ,1,1,2,0,2,4,9,1,0,0,0,1,1,1
Athlone,2089, Westmeath Division ,109,98,39,6,276,146,454,37,88,26,27,156,229,41
Athy,20160, Kildare Division ,67,90,20,15,201,123,153,9,25,7,10,101,67,25
Aughrim,20205, Wicklow Division ,9,6,2,0,12,12,15,0,2,0,1,6,4,0
Avoca,20203, Wicklow Division ,2,11,1,1,15,9,12,1,1,0,0,10,3,0
Baile Atha Bui,2060, Meath Division ,17,16,5,1,23,35,51,5,11,1,3,14,17,1
Baile an Fheirtéaraigh,20384, Kerry Division ,0,1,2,0,2,3,6,0,0,0,0,2,0,0
Baile Bhuirne,20365, Cork West Division ,0,0,1,0,9,3,8,1,0,0,1,1,1,0
Bailieboro,20682, Cavan/Monaghan Division ,29,26,7,1,9,10,45,2,23,2,2,27,41,4
Balbriggan,2072, D.M.R. Northern Division ,97,104,45,11,140,151,445,98,44,10,19,214,79,66
Balla,20554, Mayo Division ,6,3,2,0,3,5,10,3,4,0,0,2,5,0
Ballaghderreen,20538, Roscommon/Longford Division ,22,16,8,0,48,25,53,7,11,4,2,27,32,7
Ballina,20562, Mayo Division ,62,57,38,2,40,52,157,17,27,5,8,130,185,24
Ballinagh,20676, Cavan/Monaghan Division ,14,8,10,0,8,25,20,2,2,1,2,25,9,0
Ballinamore,20695, Sligo/Leitrim Division ,10,5,1,0,7,9,6,1,0,0,0,6,12,1
Ballinasloe,20521, Galway Division ,65,59,26,4,32,58,164,13,71,9,6,66,185,26
Ballincollig,20304, Cork City Division ,45,39,16,0,30,37,155,9,42,9,1,100,90,3
Ballindine,20574, Mayo Division ,0,1,0,0,5,5,11,2,0,0,0,0,3,0
Ballineen,20338, Cork West Division ,0,4,4,0,6,2,10,4,3,0,0,3,0,0
Ballingarry,20442, Limerick Division ,4,1,2,0,20,13,15,0,1,0,0,4,4,5
Ballingarry North,20266, Tipperary Division ,0,1,0,1,4,0,3,0,0,0,0,2,0,0
Ballingarry South,20244, Tipperary Division ,0,4,2,0,7,3,6,2,2,0,0,7,2,0
Ballinhassig,20337, Cork West Division ,5,15,9,1,5,7,13,2,11,2,1,14,6,3
Ballinlough,20539, Roscommon/Longford Division ,6,3,1,0,3,5,16,0,2,0,1,7,6,1
Ballinrobe,20576, Mayo Division ,12,23,3,0,15,18,19,1,1,0,2,13,19,0
Ballintra,20656, Donegal Division ,2,1,5,0,4,6,11,3,0,1,0,1,2,1
Ballivor,2061, Meath Division ,6,7,2,1,11,15,22,0,1,0,0,11,8,5
Ballon,20157, Kilkenny/Carlow Division ,1,4,4,0,28,26,14,0,1,0,0,2,1,1
Ballybay,20670, Cavan/Monaghan Division ,3,13,10,0,6,4,15,0,3,2,0,10,16,0
Ballybofey,20626, Donegal Division ,49,44,24,3,25,19,64,11,11,3,1,39,101,7
Ballybunion,20407, Kerry Division ,6,12,5,0,11,7,15,2,5,2,0,15,31,1
Ballyconnell,20690, Cavan/Monaghan Division ,7,24,9,1,9,11,20,0,6,1,2,12,16,1
Ballycotton,20333, Cork North Division ,2,1,0,0,5,3,3,0,0,0,0,4,3,4
Ballycroy,20570, Mayo Division ,8,1,1,0,2,4,3,0,0,0,0,1,0,0
Ballycullane,20193, Wexford Division ,5,5,2,0,6,9,11,1,5,0,2,15,5,1
Ballydehob,20349, Cork West Division ,5,4,3,0,4,6,12,1,5,0,0,5,16,0
Ballydesmond,20370, Cork West Division ,2,0,0,0,5,1,7,1,2,0,0,2,0,0
Ballyduff,20408, Kerry Division ,8,8,5,0,8,5,4,2,1,2,1,7,9,0
Ballyfermot,209, D.M.R. Western Division ,91,69,62,67,275,271,563,35,186,27,36,346,168,21
Ballygar,20520, Galway Division ,4,1,0,0,3,1,8,4,3,0,1,0,5,0
Ballyhale,20238, Kilkenny/Carlow Division ,1,2,4,0,4,6,2,0,4,1,0,1,2,0
Ballyhaunis,20584, Mayo Division ,15,19,5,0,16,19,33,4,3,0,1,16,30,1
Ballyheigue,20405, Kerry Division ,8,6,0,0,3,2,3,0,2,0,0,10,15,0
Ballyjamesduff,20689, Cavan/Monaghan Division ,18,25,11,0,9,12,36,17,4,2,1,15,40,2
Ballylanders,20433, Limerick Division ,4,2,1,0,14,15,14,3,2,0,0,7,2,0
Ballylinan,20121, Laois/Offaly Division ,3,11,0,0,32,20,20,2,0,0,0,9,5,2
Ballymacarberry,20216, Waterford Division ,6,2,0,0,8,7,9,0,2,0,0,3,3,0
Ballymahon,2095, Roscommon/Longford Division ,21,15,13,0,32,26,24,2,8,3,3,27,24,1
Ballymore,2091, Westmeath Division ,2,1,0,0,9,5,4,1,1,2,1,1,1,1
Ballymote,20599, Sligo/Leitrim Division ,12,12,4,0,10,14,10,0,8,3,0,13,13,1
Ballymun,2021, D.M.R. Northern Division ,127,159,31,75,163,99,553,23,183,32,28,266,126,34
Ballynacargy,20107, Westmeath Division ,6,3,4,0,7,4,5,1,2,0,0,7,3,1
Ballyneety,20421, Limerick Division ,4,18,3,0,27,9,27,2,2,0,1,23,3,13
Ballynoe,20314, Cork North Division ,5,4,2,0,4,12,5,0,0,0,0,3,3,0
Ballyporeen,20260, Tipperary Division ,5,2,0,0,5,5,6,0,0,0,0,0,2,0
Ballyshannon,20655, Donegal Division ,12,17,6,0,16,10,24,6,17,3,5,20,31,21
Ballyvaughan,20469, Clare Division ,2,3,0,0,6,11,25,0,0,0,0,3,1,0
Baltimore,20357, Cork West Division ,0,3,1,0,0,2,14,0,0,0,0,4,2,2
Baltinglass,20162, Wicklow Division ,33,26,3,0,43,33,51,4,8,2,4,18,6,2
Banagher,20126, Laois/Offaly Division ,4,4,6,0,6,8,11,0,1,0,1,2,4,1
Bandon,20335, Cork West Division ,35,44,26,0,21,20,80,32,44,3,0,38,85,13
Bangor Erris,20569, Mayo Division ,4,2,3,1,3,2,6,0,0,0,0,3,0,0
Bansha,20285, Tipperary Division ,1,4,1,0,5,3,7,0,0,0,0,5,3,0
Bantry,20343, Cork West Division ,22,16,19,0,13,5,32,12,25,4,6,12,69,14
Barnaderg,20550, Galway Division ,4,3,3,0,5,5,10,1,4,1,0,3,1,0
Barraduff,20401, Kerry Division ,0,0,2,0,3,1,1,0,0,0,0,0,0,0
Beal an Mhuirthead,20566, Mayo Division ,10,18,16,1,6,4,16,2,2,1,1,16,17,2
Beal Atha an Ghaorthaidh,20364, Cork West Division ,1,3,1,0,2,0,2,0,2,0,0,3,1,1
Belturbet,20691, Cavan/Monaghan Division ,15,15,11,0,11,50,44,6,6,1,4,21,23,1
Bennettsbridge,20235, Kilkenny/Carlow Division ,1,0,5,0,10,7,13,1,4,0,0,4,6,1
Birr,20125, Laois/Offaly Division ,37,35,14,1,53,58,105,10,10,2,5,85,55,3
Bishopstown,20293, Cork City Division ,24,31,27,5,64,68,337,16,40,0,3,63,83,13
Blacklion,20618, Cavan/Monaghan Division ,1,0,0,0,3,3,1,0,0,0,0,2,0,4
Blackrock Co Cork,20291, Cork North Division ,35,49,20,2,42,51,213,11,38,14,1,61,77,16
Blackrock Co Dublin,2044, D.M.R. Southern Division ,59,68,26,8,353,419,692,48,58,18,2,144,101,4
Blackrock Co Louth,20703, Louth Division ,15,7,6,2,44,44,82,2,2,1,2,24,18,1
Blackwater,20186, Wexford Division ,3,6,4,0,26,26,41,15,4,0,0,19,3,5
Blanchardstown,2031, D.M.R. Western Division ,226,204,116,95,692,545,1871,158,258,50,54,601,276,473
Blarney,20303, Cork City Division ,22,34,22,2,26,31,99,4,25,4,6,32,19,8
Blessington,20163, Wicklow Division ,33,19,14,2,69,68,133,1,29,1,1,54,31,1
Boherbue,20371, Cork West Division ,4,2,5,0,9,2,10,0,2,0,0,8,5,1
Bonniconlon,20561, Mayo Division ,4,5,0,0,5,0,11,2,1,1,0,1,0,0
Borris,20242, Kilkenny/Carlow Division ,15,7,0,0,9,13,15,1,3,1,0,8,11,2
Borris-In-Ossory,20124, Laois/Offaly Division ,0,4,1,0,19,16,16,0,1,0,0,3,5,0
Borrisokane,20265, Tipperary Division ,7,2,2,0,6,12,14,1,0,0,0,8,3,0
Borrisoleigh,20277, Tipperary Division ,3,9,9,0,9,9,11,0,2,0,1,6,14,1
Bothar Na Tra,20505, Galway Division ,47,51,31,3,144,115,126,11,18,2,1,107,90,9
Boyle,20530, Roscommon/Longford Division ,20,16,5,1,22,24,43,3,12,0,2,13,20,3
Bray,2040, Wicklow Division ,134,127,52,17,227,252,680,50,292,28,39,219,289,203
Bridewell Cork,20290, Cork City Division ,177,169,33,14,106,137,453,31,174,16,20,169,481,132
Bridewell Dublin,2035, D.M.R. North Central Division ,127,132,48,51,208,163,757,61,219,38,57,330,315,3580
Bruff,20431, Limerick Division ,10,5,5,0,7,11,17,1,1,0,0,11,12,0
Bruree,20435, Limerick Division ,4,3,1,0,19,13,13,0,1,0,0,7,7,0
Bunclody,20181, Wexford Division ,12,9,8,1,42,40,63,8,4,0,0,22,6,3
Buncrana,20628, Donegal Division ,52,61,31,5,16,22,58,8,20,4,5,48,139,7
Bundoran,20657, Donegal Division ,31,36,12,0,14,7,44,5,25,2,0,21,106,4
Burnfoot,20629, Donegal Division ,14,12,9,0,9,7,33,2,10,3,0,6,15,5
Buttevant,20321, Cork North Division ,17,21,3,0,13,10,20,0,2,1,2,22,29,3
Cabinteely,2039, D.M.R. Eastern Division ,85,74,31,12,354,427,515,30,31,5,7,162,100,15
Cabra,2028, D.M.R. Western Division ,65,38,21,30,147,111,499,21,101,8,5,173,71,15
Caherciveen,20387, Kerry Division ,15,21,6,0,13,17,36,3,2,0,2,19,15,16
Caherconlish,20422, Limerick Division ,4,5,0,0,17,13,23,0,4,0,0,7,0,7
Cahir,20258, Tipperary Division ,24,17,23,0,35,18,43,5,16,2,2,29,29,4
Callan,20230, Kilkenny/Carlow Division ,12,15,3,0,31,30,57,2,2,2,1,14,16,2
Campile,20198, Wexford Division ,4,9,1,0,2,12,7,0,7,0,1,7,4,0
Cappamore,20438, Limerick Division ,4,6,2,1,11,11,13,2,2,0,4,5,3,2
Cappawhite,20284, Tipperary Division ,4,5,1,0,9,5,13,1,2,0,2,7,3,2
Cappoquin,20214, Waterford Division ,13,13,3,0,10,15,21,1,8,0,0,18,5,0
Carbury,20153, Kildare Division ,9,9,9,1,37,25,89,4,8,5,5,24,6,0
Carlingford,2053, Louth Division ,11,15,4,1,10,22,39,1,1,1,1,21,34,1
Carlow,20154, Kilkenny/Carlow Division ,124,105,65,8,260,171,471,25,174,21,9,153,305,87
Carna,20487, Galway Division ,4,2,1,0,2,1,7,0,0,0,0,7,11,0
Carndonagh,20630, Donegal Division ,27,27,21,1,12,12,24,1,7,0,3,23,29,7
Carnew,20184, Wicklow Division ,4,9,2,2,21,6,19,0,2,0,0,7,5,0
Carraig Airt,20637, Donegal Division ,16,8,7,0,10,3,7,1,2,0,2,10,9,1
Carrickbyrne,20197, Wexford Division ,1,9,1,0,20,14,26,0,0,0,0,4,4,0
Carrickmacross,20669, Cavan/Monaghan Division ,41,48,33,1,38,35,84,7,17,2,2,73,100,19
Carrick-on-Bannow,20194, Wexford Division ,3,5,0,0,12,15,16,1,6,1,4,5,3,1
Carrick-On-Shannon,20605, Sligo/Leitrim Division ,48,42,25,0,20,23,106,11,20,4,4,55,224,15
Carrick-On-Suir,20256, Tipperary Division ,26,31,9,2,47,25,83,3,27,4,4,54,70,8
Carrigaline,20295, Cork City Division ,34,28,24,0,12,34,120,14,36,0,1,48,55,7
Carrigallen,20696, Sligo/Leitrim Division ,3,1,0,0,8,4,11,1,0,0,0,7,1,1
Carrigans,20620, Donegal Division ,9,6,1,2,23,10,9,1,2,0,1,13,8,4
Carrigtwohill,20307, Cork North Division ,17,15,10,1,7,15,32,4,4,1,0,10,10,3
Cashel,20262, Tipperary Division ,28,30,22,2,31,23,89,8,7,1,1,30,32,19
Castlebar,20551, Mayo Division ,108,91,40,6,47,27,254,34,32,6,4,89,220,20
Castlebellingham,2048, Louth Division ,12,13,6,2,61,50,148,3,5,1,0,35,9,4
Castleblayney,20671, Cavan/Monaghan Division ,38,43,52,2,31,17,50,9,26,5,4,58,161,6
Castlebridge,20175, Wexford Division ,6,11,10,0,18,19,56,0,4,2,2,22,6,1
Castlecomer,20231, Kilkenny/Carlow Division ,10,20,7,1,42,36,71,5,11,1,0,23,20,0
Castleconnell,20416, Limerick Division ,7,12,11,0,36,30,81,23,9,8,3,34,35,2
Castledermot,20161, Kildare Division ,7,24,3,0,47,20,37,1,9,1,1,23,6,0
Castlefin,20621, Donegal Division ,12,11,3,0,10,8,24,1,2,0,0,18,16,4
Castlegregory,20382, Kerry Division ,4,8,1,0,8,6,10,0,1,0,0,5,3,0
Castleisland,20399, Kerry Division ,12,26,12,0,7,13,31,9,4,3,5,15,27,6
Castlemaine,20395, Kerry Division ,0,5,3,0,1,4,1,3,1,0,0,2,7,0
Castlepollard,20108, Westmeath Division ,1,1,0,0,8,21,25,2,1,0,0,4,2,1
Castlerea,20537, Roscommon/Longford Division ,97,125,14,2,27,17,57,2,20,4,3,16,37,22
Castletownbere,20351, Cork West Division ,7,11,4,0,6,8,9,1,1,0,0,6,3,0
Castletownroche,20318, Cork North Division ,4,6,6,0,11,9,17,3,5,0,0,9,2,0
Cavan,20675, Cavan/Monaghan Division ,122,140,53,10,88,100,327,47,84,19,10,112,192,53
Celbridge,20142, Kildare Division ,26,57,15,6,118,140,252,12,42,2,4,77,32,9
Charlestown,20582, Mayo Division ,14,8,4,0,12,13,48,0,6,3,1,13,13,11
Charleville,20322, Cork North Division ,19,24,13,0,28,26,107,11,7,4,3,31,28,8
Cill Ronain,20506, Galway Division ,3,5,2,0,0,1,0,0,3,0,0,1,2,1
Clane,20143, Kildare Division ,33,29,18,2,97,79,169,6,12,7,4,44,26,8
Clara,20135, Laois/Offaly Division ,8,19,8,1,25,19,106,3,14,4,5,19,1,1
