Station,ID Number,Divisions,Murder / Assaults / Harassments and related offences 2014,Attempts or threats to murder/ assaults/ harassments and related offences 2015,Dangerous or negligent acts 2015,Robbery/ extortion and hijacking offences 2015,Burglary and related offences 2014,Burglary and related offences 2015,Theft and related offences 2015,Fraud/ deception and related offences 2015,Controlled drug offences 2015,Weapons and Explosives Offences 2014,Weapons and Explosives Offences 2015,Damage to property and to the environment 2015,Public order and other social code offences 2015,Offences against government/ justice procedures and organisation of crime 2015
Claremorris,20572, Mayo Division ,23,23,10,0,10,7,46,6,6,1,1,26,39,1
Clifden,20483, Galway Division ,16,12,8,0,8,3,24,4,6,2,1,6,38,2
Cloch na Ron,20489, Galway Division ,2,1,1,0,1,0,2,0,0,0,0,2,2,0
Cloghan,20127, Laois/Offaly Division ,3,9,3,0,5,12,10,0,3,0,0,8,2,2
Clogheen,20263, Tipperary Division ,4,3,1,0,5,8,7,0,3,0,1,2,1,2
Clogher,20650, Donegal Division ,0,0,2,0,0,1,0,0,0,0,0,0,0,0
Clogherhead,2049, Louth Division ,11,5,1,1,24,26,29,0,4,1,0,10,3,0
Clonakilty,20352, Cork West Division ,27,44,23,0,17,9,59,13,21,0,1,33,75,18
Clonark,20528, Roscommon/Longford Division ,4,1,3,1,10,7,9,0,0,0,0,7,5,3
Clonaslee,20116, Laois/Offaly Division ,4,1,4,0,6,14,8,0,0,0,0,2,0,0
Clonbologue,20136, Laois/Offaly Division ,2,5,3,0,15,10,13,0,2,0,1,4,0,2
Clondalkin,2012, D.M.R. Western Division ,120,137,77,43,356,476,960,46,197,46,50,384,192,55
Clones,20663, Cavan/Monaghan Division ,17,22,8,0,4,6,34,2,0,1,2,9,13,4
Clonmany,20631, Donegal Division ,5,13,2,0,1,0,3,0,1,1,1,8,25,1
Clonmel,20251, Tipperary Division ,94,107,51,6,118,106,327,26,196,21,25,94,202,33
Clonroche,20191, Wexford Division ,2,5,6,0,20,16,25,1,5,0,0,7,2,0
Clontarf,2027, D.M.R. Northern Division ,51,69,36,29,356,298,642,26,72,13,11,175,96,10
Cloughjordan,20267, Tipperary Division ,2,0,0,0,1,5,9,0,3,0,0,2,0,0
Cloyne,20329, Cork North Division ,3,1,1,0,2,2,7,0,1,0,0,5,3,4
Coachford,20363, Cork West Division ,6,10,4,0,6,8,12,0,8,1,0,6,4,0
Cobh,20306, Cork North Division ,60,48,16,1,19,13,91,5,21,1,0,53,105,4
Collon,2080, Louth Division ,5,3,2,0,10,12,10,1,0,0,0,5,1,0
Collooney,20593, Sligo/Leitrim Division ,8,14,10,0,14,23,20,2,9,0,1,19,12,7
Cong,20577, Mayo Division ,4,2,2,0,12,4,8,0,2,0,0,4,2,0
Convoy,20627, Donegal Division ,20,18,2,0,5,4,10,0,3,1,1,13,9,2
Coolaney,20595, Sligo/Leitrim Division ,2,3,1,0,5,4,3,0,3,1,0,7,0,1
Coolock,2023, D.M.R. Northern Division ,131,189,66,66,373,328,862,40,278,63,50,395,159,36
Cootehill,20688, Cavan/Monaghan Division ,22,13,9,1,23,27,51,10,2,5,2,18,15,6
Corofin,20470, Clare Division ,11,6,1,0,1,10,13,1,5,0,0,13,3,0
Corofin,20549, Galway Division ,5,3,6,0,4,8,11,0,0,0,0,3,3,0
Courtown Harbour,20182, Wexford Division ,22,23,18,0,73,107,121,3,19,6,2,64,20,6
Craughwell,20509, Galway Division ,12,2,13,1,17,15,20,3,4,0,0,3,5,0
Creggs,20519, Galway Division ,2,2,0,0,0,2,0,0,0,0,0,2,0,0
Crookstown,20366, Cork West Division ,7,39,7,0,3,7,15,2,10,1,1,16,6,1
Croom,20426, Limerick Division ,3,15,4,0,12,12,40,1,5,0,2,15,16,3
Crosshaven,20296, Cork City Division ,3,10,3,1,6,7,32,2,5,2,0,13,4,1
Crossmolina,20558, Mayo Division ,3,6,7,0,5,5,9,1,0,1,0,9,12,0
Crumlin,207, D.M.R. Southern Division ,90,89,33,40,283,264,454,47,79,19,7,263,110,11
Crusheen,20448, Clare Division ,2,2,0,0,6,5,7,1,2,0,0,1,0,0
Daingean,20137, Laois/Offaly Division ,9,7,1,0,17,21,21,0,1,1,0,2,0,3
Delvin,2088, Westmeath Division ,9,3,5,0,8,18,31,3,87,2,0,7,12,1
Dingle,20381, Kerry Division ,19,19,16,2,2,6,27,2,8,1,0,16,68,0
Dolla,20268, Tipperary Division ,0,0,2,0,5,6,11,0,1,0,0,1,1,0
Donegal Town,20658, Donegal Division ,34,30,15,0,10,8,33,7,15,2,1,15,33,10
Doneraile,20323, Cork North Division ,7,1,2,0,11,6,22,0,3,0,0,8,17,1
Donnybrook,205, D.M.R. South Central Division ,45,57,27,19,294,291,760,78,67,11,15,124,168,8
Douglas,20294, Cork City Division ,56,61,20,6,72,84,218,22,80,6,5,75,63,9
Dowra,20617, Cavan/Monaghan Division ,2,0,0,0,2,0,1,1,0,0,0,1,0,0
Drimoleague,20350, Cork West Division ,3,1,4,0,8,8,8,3,4,0,1,7,0,1
Drinagh,20359, Cork West Division ,0,1,1,0,4,0,0,0,4,0,0,0,0,0
Drogheda,2047, Louth Division ,227,200,49,36,353,383,790,75,140,26,17,404,266,104
Drumad,2055, Louth Division ,7,6,6,1,19,29,46,2,2,1,1,23,5,1
Drumcollogher,20327, Limerick Division ,3,8,0,0,15,16,27,9,0,1,0,10,4,0
Drumlish,2097, Roscommon/Longford Division ,13,13,4,0,5,7,18,1,2,0,1,5,11,2
Drumshambo,20608, Sligo/Leitrim Division ,10,9,1,1,28,11,17,2,0,6,3,14,3,0
Dublin Airport,2022, D.M.R. Northern Division ,10,9,6,0,4,1,173,20,16,3,14,13,69,2
Duleek,2081, Meath Division ,11,22,7,4,54,46,67,14,3,2,0,31,13,1
Dun Fionnachaid,20641, Donegal Division ,3,7,3,0,2,1,2,0,1,0,0,6,10,0
Dun Laoghaire,203, D.M.R. Eastern Division ,102,146,31,18,377,419,751,52,95,22,19,232,206,215
Dunboyne,2065, Meath Division ,39,36,18,10,61,65,176,10,5,1,4,38,23,3
Duncannon,20195, Wexford Division ,3,6,4,1,12,25,22,2,5,0,0,8,5,0
Dundalk,2052, Louth Division ,176,203,64,36,400,378,981,66,78,41,43,409,266,61
Dundrum,2045, D.M.R. Eastern Division ,82,134,45,28,585,777,1499,92,83,12,16,369,185,18
Dungarvan,20213, Waterford Division ,69,83,40,3,55,53,219,18,52,13,11,84,184,8
Dunlavin,20164, Wicklow Division ,5,5,3,0,21,14,7,0,1,0,0,4,7,0
Dunleer,2050, Louth Division ,20,21,3,1,34,23,35,6,4,1,1,34,22,4
Dunmanway,20358, Cork West Division ,17,18,7,1,12,10,24,4,13,0,1,6,13,5
Dunmore East,20207, Waterford Division ,14,6,5,0,19,14,48,0,4,0,0,17,6,0
Dunmore,20548, Galway Division ,3,5,3,0,4,8,24,0,5,0,0,8,11,2
Dunshaughlin,2067, Meath Division ,38,25,12,1,55,52,87,7,2,2,0,13,22,3
Durrow,20119, Laois/Offaly Division ,4,4,3,0,20,19,24,2,2,0,2,4,7,1
Durrus,20348, Cork West Division ,1,3,1,0,3,3,4,2,5,0,0,2,1,0
Edenderry,20138, Laois/Offaly Division ,27,42,5,1,96,51,87,12,13,5,9,48,28,4
Edgeworthstown,20105, Roscommon/Longford Division ,30,36,10,2,50,20,41,4,28,1,9,46,24,7
Elphin,20533, Roscommon/Longford Division ,5,1,0,0,5,9,9,1,0,0,0,0,2,0
Emly,20282, Tipperary Division ,2,1,1,0,0,3,5,0,6,0,0,4,5,0
Emyvale,20667, Cavan/Monaghan Division ,5,6,3,0,4,8,25,0,2,1,0,10,11,1
Enfield,2071, Meath Division ,3,7,3,1,17,11,27,2,4,3,0,8,5,1
Ennis,20447, Clare Division ,114,149,83,12,166,157,523,76,211,37,30,194,373,205
Enniscorthy,20185, Wexford Division ,54,86,27,2,169,173,232,20,36,8,5,185,93,20
Enniscrone,20564, Sligo/Leitrim Division ,13,18,8,1,22,11,9,1,3,0,0,12,12,1
Enniskerry,2041, Wicklow Division ,5,4,0,0,30,27,56,2,7,0,0,25,5,1
Ennistymon,20468, Clare Division ,20,27,15,0,12,20,48,3,6,0,1,25,61,4
Eyrecourt,20495, Galway Division ,4,3,1,0,7,9,10,0,2,0,0,2,0,0
Farranfore,20400, Kerry Division ,9,2,5,0,6,6,6,0,0,2,0,4,4,1
Ferbane,20128, Laois/Offaly Division ,12,11,3,0,15,26,34,2,2,0,0,5,6,2
Fermoy,20312, Cork North Division ,45,29,21,2,28,39,73,15,58,3,3,30,131,18
Ferns,20187, Wexford Division ,2,12,2,0,19,30,31,1,3,0,1,17,6,2
Ferrybank,20208, Waterford Division ,20,17,12,1,48,36,61,3,9,0,0,37,28,10
Fethard,20255, Tipperary Division ,9,6,9,0,28,25,19,0,12,1,1,17,12,2
Finglas,2030, D.M.R. Western Division ,110,110,59,72,299,273,934,58,350,42,59,363,249,55
Fitzgibbon Street,2033, D.M.R. North Central Division ,136,158,48,61,269,212,936,65,412,39,32,291,226,7
Foxford,20585, Mayo Division ,5,5,6,0,10,6,13,1,4,0,0,6,6,2
Foynes,20427, Limerick Division ,11,12,4,0,11,16,43,0,0,0,0,8,8,22
Frenchpark,20534, Roscommon/Longford Division ,2,8,2,0,12,15,15,1,3,0,2,19,15,0
Freshford,20229, Kilkenny/Carlow Division ,2,5,4,0,12,7,12,1,0,1,1,4,4,2
Gaillimh,20475, Galway Division ,277,292,151,19,386,329,1257,207,316,27,29,293,1027,228
Garristown,2076, D.M.R. Northern Division ,5,10,5,0,13,21,27,1,2,0,1,6,6,1
Glanmire,20308, Cork City Division ,25,34,12,4,32,32,116,7,29,1,1,51,33,6
Glantaine,20325, Cork North Division ,5,11,3,0,5,7,11,1,1,0,1,6,3,1
Glasson,22222,Westmeath,7,3,4,0,19,8,15,2,0,0,0,7,3,0
Gleann na Muaidhe,20571, Mayo Division ,2,0,1,0,1,1,4,0,0,0,0,5,0,1
Glenamaddy,20547, Galway Division ,4,7,1,0,3,1,9,1,1,0,2,2,6,0
Glenbeigh,20390, Kerry Division ,0,5,0,0,1,3,6,0,2,0,0,5,3,0
Glengarriff,20347, Cork West Division ,0,2,3,0,4,3,16,0,8,0,0,3,3,1
Glenmore,20211, Kilkenny/Carlow Division ,2,4,6,0,11,10,10,0,2,1,0,15,0,0
Glin,20428, Limerick Division ,3,0,4,0,18,16,9,1,4,1,0,9,3,8
Glynn,20177, Wexford Division ,5,0,2,0,11,16,5,1,1,0,0,8,2,0
Gob an Choire,20588, Mayo Division ,1,3,1,0,1,0,2,1,2,0,0,2,5,0
Golden,20283, Tipperary Division ,1,1,1,0,4,6,6,1,1,0,0,1,1,1
Goresbridge,20232, Kilkenny/Carlow Division ,1,1,3,1,14,14,19,0,8,0,0,10,5,2
Gorey,20180, Wexford Division ,53,54,40,1,141,107,222,15,54,4,7,92,103,58
Gort,20507, Galway Division ,17,23,22,1,24,30,42,9,18,2,0,20,47,7
Graiguenamanagh,20236, Kilkenny/Carlow Division ,3,4,4,1,15,20,34,0,3,2,0,8,11,0
Granard,20103, Roscommon/Longford Division ,19,26,14,1,36,26,27,6,6,6,1,32,25,3
Grange,20598, Sligo/Leitrim Division ,5,4,5,0,17,12,22,0,2,0,0,23,1,2
Greystones,2043, Wicklow Division ,40,46,14,2,139,160,380,9,39,6,9,98,36,4
Gurranabraher,20302, Cork City Division ,139,113,36,11,58,76,204,13,127,29,14,231,190,20
Gurteen,20601, Sligo/Leitrim Division ,1,4,3,1,4,8,12,0,0,1,0,3,1,1
Hackballscross,2054, Louth Division ,2,1,1,1,11,18,17,0,0,0,0,9,1,1
Hacketstown,20169, Kilkenny/Carlow Division ,4,4,1,0,5,6,4,1,3,0,0,3,5,1
Headford,20479, Galway Division ,7,18,4,0,33,24,22,2,5,0,0,11,10,1
Henry Street,20417, Limerick Division ,200,238,129,44,283,291,1542,74,300,72,49,426,925,457
Holycross,20245, Tipperary Division ,1,6,4,0,11,5,7,0,4,0,0,8,2,0
Hospital Co Limerick,20434, Limerick Division ,6,6,2,0,13,8,16,1,2,0,0,4,3,2
Howth,2029, D.M.R. Northern Division ,22,25,17,16,208,164,306,7,27,3,5,97,48,5
Indreabhan,20502, Galway Division ,4,4,6,0,2,3,4,2,0,0,0,3,4,2
Innishannon,20336, Cork West Division ,3,3,6,0,4,8,11,1,8,0,0,4,3,0
Irishtown,206, D.M.R. South Central Division ,35,40,11,11,258,236,579,22,64,19,6,108,117,7
Kanturk,20369, Cork West Division ,15,24,23,0,19,24,31,8,8,2,0,18,51,1
Keadue,20535, Roscommon/Longford Division ,4,0,2,0,2,2,13,1,1,0,0,7,2,1
Kealkil,20345, Cork West Division ,2,3,2,0,3,4,4,1,3,0,0,2,3,0
Keel,20591, Mayo Division ,4,4,0,0,1,1,4,0,0,1,0,0,4,0
Kells Ceanannus Mor,2058, Meath Division ,33,43,24,1,76,51,119,8,15,4,7,47,45,7
Kenagh,2098, Roscommon/Longford Division ,1,4,4,0,4,5,14,2,1,1,0,6,0,1
Kenmare,20398, Kerry Division ,5,10,11,0,25,13,21,4,7,0,4,11,48,3
Kerrykeel,20638, Donegal Division ,5,7,6,0,5,3,12,1,1,1,0,10,7,0
Kevin Street,2036, D.M.R. South Central Division ,205,230,48,89,409,255,1039,98,222,31,41,357,474,25
Kilbeggan,2093, Westmeath Division ,7,7,4,2,18,13,38,4,4,0,0,9,9,3
Kilbrittain,20341, Cork West Division ,3,4,1,0,4,0,7,1,3,0,1,7,1,1
Kilcock,2069, Kildare Division ,18,14,15,11,34,61,105,5,5,4,1,20,16,25
Kilconnell,20523, Galway Division ,2,3,3,0,1,5,3,0,3,0,0,0,39,0
Kilcormac,20129, Laois/Offaly Division ,2,3,1,0,15,9,13,1,0,0,0,10,4,0
Kilcullen,20148, Kildare Division ,11,17,13,1,62,67,64,5,4,0,2,30,16,2
Kildare,20146, Kildare Division ,42,49,20,4,81,83,173,15,29,6,10,63,72,5
Kildorrery,20315, Cork North Division ,3,5,6,0,4,12,22,0,8,1,1,6,1,0
Kildysart,20460, Clare Division ,2,2,1,0,1,0,2,0,2,0,0,0,3,0
Kilkee,20461, Clare Division ,13,19,9,0,20,18,20,1,7,3,2,19,33,2
Kilkelly,20583, Mayo Division ,2,4,1,0,6,7,7,1,2,0,0,3,3,0
Kilkenny,20228, Kilkenny/Carlow Division ,200,257,86,7,303,191,702,62,133,23,16,181,680,101
Kill Co Waterford,20221, Waterford Division ,3,11,4,0,3,6,10,0,0,0,0,8,6,0
Killala,20559, Mayo Division ,5,9,7,0,7,3,5,0,6,0,0,4,8,0
Killaloe,20462, Clare Division ,22,21,15,1,20,16,51,3,11,4,0,11,20,41
Killarney,20396, Kerry Division ,92,117,57,0,67,73,281,38,124,15,11,95,488,38
Killeagh,20330, Cork North Division ,14,4,8,0,10,16,26,1,2,0,0,15,11,4
Killenaule,20246, Tipperary Division ,6,10,5,1,12,10,17,2,4,4,0,12,8,3
Killeshandra,20693, Cavan/Monaghan Division ,1,3,2,0,5,15,10,1,4,0,2,4,2,1
Killimor,20492, Galway Division ,4,3,2,0,8,9,9,1,0,0,0,6,4,0
Killorglin,20392, Kerry Division ,32,26,10,1,20,19,37,7,11,6,0,17,39,6
Killucan,2084, Westmeath Division ,6,7,5,0,6,4,8,1,3,0,1,6,6,2
Kilmacow,20212, Kilkenny/Carlow Division ,0,3,2,0,6,4,10,1,0,0,0,8,3,0
Kilmacrennan,20640, Donegal Division ,10,9,8,0,3,3,13,1,2,2,1,8,10,0
Kilmacthomas,20222, Waterford Division ,6,9,3,0,2,12,18,1,2,1,0,7,5,1
Kilmaine,20573, Mayo Division ,1,3,4,0,6,1,3,0,0,0,0,6,3,0
Kilmainham,204, D.M.R. South Central Division ,128,176,46,53,274,292,732,56,160,43,43,371,269,23
Kilmallock,20436, Limerick Division ,19,20,8,0,33,34,63,3,4,4,0,28,25,11
Kilmeaden,20223, Waterford Division ,2,3,4,0,5,8,13,1,4,0,0,2,1,1
Kilmoganny,20240, Kilkenny/Carlow Division ,3,0,0,0,12,4,5,0,0,0,0,3,1,2
Kilmore Quay,20176, Wexford Division ,11,17,5,0,22,30,35,1,2,2,2,20,10,6
Kilnaleck,20680, Cavan/Monaghan Division ,9,17,15,0,11,27,30,1,1,0,0,11,3,2
Kilrickle,20497, Galway Division ,4,5,1,0,2,2,6,3,2,0,0,5,3,0
Kilrush,20455, Clare Division ,24,37,8,2,27,24,52,2,19,3,10,49,49,15
Kilsheelan,20252, Tipperary Division ,0,1,0,0,14,4,6,1,2,1,0,1,3,0
Kiltimagh,20581, Mayo Division ,3,12,0,0,11,8,20,0,3,1,1,8,9,0
Kiltormer,20524, Galway Division ,1,2,1,0,2,4,8,0,0,0,0,0,3,0
Kilworth,20316, Cork North Division ,1,0,2,0,5,8,10,0,2,0,0,4,3,1
Kingscourt,20683, Cavan/Monaghan Division ,20,14,5,1,4,9,12,4,2,0,0,3,10,1
Kinlough,20615, Sligo/Leitrim Division ,5,7,4,0,12,9,18,1,1,0,1,9,5,4
Kinnegad,2085, Westmeath Division ,14,22,17,2,8,16,50,5,16,2,1,13,27,10
Kinnitty,20130, Laois/Offaly Division ,1,2,0,0,10,9,13,0,0,0,0,4,0,0
Kinsale,20340, Cork West Division ,37,48,19,0,17,18,60,7,23,4,1,45,152,6
Kinvara,20510, Galway Division ,3,1,2,0,7,1,10,0,0,0,0,8,3,0
Knock,20575, Mayo Division ,0,2,3,0,14,5,15,1,1,0,0,10,4,0
Knocknagoshel,20410, Kerry Division ,2,6,4,0,3,6,3,1,1,0,0,7,13,10
Lanesboro,20101, Roscommon/Longford Division ,7,12,6,2,19,12,16,1,3,0,0,5,12,0
Laytown,2051, Meath Division ,62,73,14,3,132,116,286,11,14,4,2,82,42,4
Leach Seoirse,20478, Galway Division ,16,17,25,0,36,34,34,7,6,1,1,11,14,4
Leamybrien,20226, Waterford Division ,4,4,1,0,7,5,19,1,1,0,0,11,5,0
Leitir Mor,20504, Galway Division ,2,2,3,0,2,4,2,1,0,0,0,5,2,1
Leixlip,2011, Kildare Division ,27,33,7,5,64,89,156,9,32,2,3,90,43,8
Letterfrack,20485, Galway Division ,3,10,2,0,1,6,4,0,1,0,1,8,8,0
Letterkenny,20619, Donegal Division ,265,220,100,7,130,112,411,51,74,16,16,232,408,76
Lifford,20625, Donegal Division ,19,11,3,1,14,9,10,8,1,0,0,26,7,1
