Year,National Average,Dublin ,Cork,Galway,Limerick,Waterford,Other Areas
1997,"102037","123231","96504","111108","91236","92,372","94,642"
1998,"124368","159558","112166","118917","104327","108789","116639"
1999,"147043","191942","140797","137510","122146","132510","137031"
2000,"166155","216433","164535","160972","146838","145087","154141"
2001,"181146","252192","175372","171578","154515","157767","167493"
2002,"194835","259381","184884","187194","169577","169681","179988"
2003,"220573","302270","210733","222578","193854","193642","203421"
2004,"244852","343251","236076","241545","209850","218447","228974"
2005,"272034","386089","264719","274745","226773","245315","255730"
2006,"297476","473634","298122","287103","282309","270108","278756"
2007,"320788","484926","326765","302208","290670","295397","299884"
2008,"304763","426861","316177","296948","278680","294960","286100"
2009,"246315","294906","255978","239370","262654","228332","234696"
2010,"233173","297294","245869","220351","226829","224021","221037"
2011,"233770","333747","244736","229558","218341","206835","218561"
2012,"223580","292004","235446","221159","213458","179716","210180"
2013,"231532","321558","241127","218308","207635","154051","209772"
2014,"247327","339590","242202","219725","212882","177963","215439"
2015,"282428","381484","256767","241835","232791","214829","252815"