Lista,Turno,Provincia,Comune,Cod ISTAT,TORNATA,VOTI,Cognome Candidato Sindaco collegato,Nome Candidato Sindaco collegato
INSIEME PAR DAMAR,Primo Turno,Udine,Amaro,30002,Comunali del 25/05/2014,370,ZANELLA,LAURA
NUOVA AMPEZZO,Primo Turno,Udine,Ampezzo,30003,Comunali del 25/05/2014,333,BENEDETTI,MICHELE
CUORE E COMUNITA',Primo Turno,Udine,Ampezzo,30003,Comunali del 25/05/2014,245,TROIERO,FABIO
AQUILEIA PER TUTTI,Primo Turno,Udine,Aquileia,30004,Comunali del 25/05/2014,909,SPANGHERO,GABRIELE
AQUILEIA 2.0,Primo Turno,Udine,Aquileia,30004,Comunali del 25/05/2014,848,ZERBIN,FRANCESCO
Artegna e oltre,Primo Turno,Udine,Artegna,30006,Comunali del 25/05/2014,221,MARANGONI,ALESSANDRO
PRIMA ARTEGNA!,Primo Turno,Udine,Artegna,30006,Comunali del 25/05/2014,106,MARANGONI,ALESSANDRO
ARTIGNE IN COMÙN,Primo Turno,Udine,Artegna,30006,Comunali del 25/05/2014,377,MARANGONI,ALESSANDRO
PER ARTEGNA Con il Cuore e la Mente,Primo Turno,Udine,Artegna,30006,Comunali del 25/05/2014,895,DAICI,ALDO
UNA NUOVA ATTIMIS,Primo Turno,Udine,Attimis,30007,Comunali del 25/05/2014,36,BAGIANTE,ELOISA
PER ATTIMIS CON SANDRO ROCCO,Primo Turno,Udine,Attimis,30007,Comunali del 25/05/2014,286,ROCCO,SANDRO
ATTIMIS INSIEME CON SANDRO ROCCO,Primo Turno,Udine,Attimis,30007,Comunali del 25/05/2014,409,ROCCO,SANDRO
RITROVARE ATTIMIS,Primo Turno,Udine,Attimis,30007,Comunali del 25/05/2014,203,DEGANO,ENZO
LIBERTA' E SVILUPPO PER ATTIMIS,Primo Turno,Udine,Attimis,30007,Comunali del 25/05/2014,81,RONCHI,DINO
BENE COMUNE,Primo Turno,Udine,Basiliano,30009,Comunali del 25/05/2014,296,DEL NEGRO,MARCO
PROGETTO BASILIANO,Primo Turno,Udine,Basiliano,30009,Comunali del 25/05/2014,873,DEL NEGRO,MARCO
LISTE CIVICHE BASILIAN,Primo Turno,Udine,Basiliano,30009,Comunali del 25/05/2014,180,DEL NEGRO,MARCO
IMPEGNO COMUNE PER BASILIANO,Primo Turno,Udine,Basiliano,30009,Comunali del 25/05/2014,1466,MICELLI,ROBERTO
TRADIZIONI E FUTURO - LISTA CIVICA,Primo Turno,Udine,Bicinicco,30011,Comunali del 25/05/2014,362,CIOTTI,DAVID
INSIEME PER UNIRE,Primo Turno,Udine,Bicinicco,30011,Comunali del 25/05/2014,719,BOSSI,GIOVANNI BATTISTA
LEGA NORD,Primo Turno,Udine,Buttrio,30014,Comunali del 25/05/2014,288,VISINTIN,ARMANDO
BURInnova,Primo Turno,Udine,Buttrio,30014,Comunali del 25/05/2014,782,SINCEROTTO,GIORGIO
INTESA PER BUTTRIO,Primo Turno,Udine,Buttrio,30014,Comunali del 25/05/2014,692,SINCEROTTO,GIORGIO
PROGETTO COMUNE - ARMONIA NEL TERRITORIO,Primo Turno,Udine,Camino al Tagliamento,30015,Comunali del 25/05/2014,362,LIANI,CORRADO
IL PATTO PER LA NOSTRA TERRA,Primo Turno,Udine,Camino al Tagliamento,30015,Comunali del 25/05/2014,726,LOCATELLI,NICOLA
PROGETTO COMUNE - CAMPOFORMIDO,Primo Turno,Udine,Campoformido,30016,Comunali del 25/05/2014,604,BERTOLINI,MONICA
LISTA CIVICA COMUNITA',Primo Turno,Udine,Campoformido,30016,Comunali del 25/05/2014,365,BERTOLINI,MONICA
UNITI PER IL COMUNE CAMPOFORMIDO,Primo Turno,Udine,Campoformido,30016,Comunali del 25/05/2014,814,BERTOLINI,MONICA
BRESSA per il Comune,Primo Turno,Udine,Campoformido,30016,Comunali del 25/05/2014,83,BACCHETTI,ANDREA
LEGA NORD,Primo Turno,Udine,Campoformido,30016,Comunali del 25/05/2014,508,BACCHETTI,ANDREA
LISTA CIVICA RINNOVIAMO CAMPOFORMIDO,Primo Turno,Udine,Campoformido,30016,Comunali del 25/05/2014,435,BACCHETTI,ANDREA
FORZA CAMPOFORMIDO,Primo Turno,Udine,Campoformido,30016,Comunali del 25/05/2014,398,BACCHETTI,ANDREA
LISTE CIVICHE  FURLANE - CJAMPFUARMIT,Primo Turno,Udine,Campoformido,30016,Comunali del 25/05/2014,247,BACCHETTI,ANDREA
ASSIEME PER IL DOMANI,Primo Turno,Udine,Carlino,30018,Comunali del 25/05/2014,365,PAOLINI,NICOLA
CARLINO NEL CUORE,Primo Turno,Udine,Carlino,30018,Comunali del 25/05/2014,291,PAOLINI,NICOLA
IDENTITA' E SVILUPPO,Primo Turno,Udine,Carlino,30018,Comunali del 25/05/2014,283,NAVARRIA,DIEGO
AMARE CARLINO,Primo Turno,Udine,Carlino,30018,Comunali del 25/05/2014,327,NAVARRIA,DIEGO
CASSACCO MOVIMENTO 5 STELLE,Primo Turno,Udine,Cassacco,30019,Comunali del 25/05/2014,523,GAMBERINI,GILBERTO
INSIEME PER CASSACCO,Primo Turno,Udine,Cassacco,30019,Comunali del 25/05/2014,942,BAIUTTI,ORNELLA
COLTIVIAMO IL FUTURO Castions e Morsano,Primo Turno,Udine,Castions di Strada,30020,Comunali del 25/05/2014,847,GORZA,ROBERTO
SI PUO' FARE,Primo Turno,Udine,Castions di Strada,30020,Comunali del 25/05/2014,487,COZZI,GIUSEPPE
TRADIZIONE e FUTURO,Primo Turno,Udine,Castions di Strada,30020,Comunali del 25/05/2014,365,TOMASIN,LUCA
IL CORAGGIO DI CAMBIARE INSIEME,Primo Turno,Udine,Cavazzo Carnico,30021,Comunali del 25/05/2014,146,LENISA,RITA
ESPERIENZA E FUTURO,Primo Turno,Udine,Cavazzo Carnico,30021,Comunali del 25/05/2014,277,BORGHI,GIANNI
PER I CITTADINI E PER IL TERRITORIO - LISTA CIVICA - CAVAZZO CARNICO,Primo Turno,Udine,Cavazzo Carnico,30021,Comunali del 25/05/2014,178,PUPPINI,DANILO
NOI CON VOI IMPEGNO COMUNE,Primo Turno,Udine,Cercivento,30022,Comunali del 25/05/2014,350,BOSCHETTI,LUCA
PER CHIOPRIS VISCONE,Primo Turno,Udine,Chiopris Viscone,30024,Comunali del 25/05/2014,220,PERUSIN,RAFFAELLA
IMPEGNO E ONESTA' PER CHIOPRIS - VISCONE,Primo Turno,Udine,Chiopris Viscone,30024,Comunali del 25/05/2014,146,PIAN,ALESSANDRO
SOT IL TEI,Primo Turno,Udine,Chiusaforte,30025,Comunali del 25/05/2014,97,PAOLINI,FABIO
PROGETTO GIOVANI SCLUSE,Primo Turno,Udine,Chiusaforte,30025,Comunali del 25/05/2014,45,DE SPIRITO,SIMONA ERSILIA
IMPEGNO COMUNE,Primo Turno,Udine,Chiusaforte,30025,Comunali del 25/05/2014,233,FUCCARO,FABRIZIO
COLLOREDO INSIEME,Primo Turno,Udine,Colloredo di Monte Albano,30028,Comunali del 25/05/2014,426,MORETTI,CLAUDIO
CON LA GENTE PER COLLOREDO,Primo Turno,Udine,Colloredo di Monte Albano,30028,Comunali del 25/05/2014,798,OVAN,LUCA
CON LO STESSO STILE - DANIELE MOSCHIONI - SINDACO,Primo Turno,Udine,Corno di Rosazzo,30030,Comunali del 25/05/2014,1078,MOSCHIONI,DANIELE
CORNO DEMOCRATICA,Primo Turno,Udine,Corno di Rosazzo,30030,Comunali del 25/05/2014,587,BERNARDIS,MARILISA
VERSO IL FUTURO,Primo Turno,Udine,Coseano,30031,Comunali del 25/05/2014,681,DEL NEGRO,VALERIO
INSIEME PER COSEANO,Primo Turno,Udine,Coseano,30031,Comunali del 25/05/2014,435,GIOVANATTO,PAOLO
INSIEME PER LA GENTE,Primo Turno,Udine,Dignano,30032,Comunali del 25/05/2014,947,ZUCCOLO,RICCARDO
PER ENEMONZO,Primo Turno,Udine,Enemonzo,30035,Comunali del 25/05/2014,531,MENEGON,FRANCO
UNIONE CONFEDERALE REGIONALE,Primo Turno,Udine,Fagagna,30037,Comunali del 25/05/2014,230,PERES,BRUNO
PROPOSTA NUOVA FAGAGNA,Primo Turno,Udine,Fagagna,30037,Comunali del 25/05/2014,120,PERES,BRUNO
PROPOSTA PER FAGAGNA,Primo Turno,Udine,Fagagna,30037,Comunali del 25/05/2014,639,D'ORLANDI,GIANLUIGI
FAGAGNA VOLIAMO INSIEME,Primo Turno,Udine,Fagagna,30037,Comunali del 25/05/2014,609,BRUNO,NINO
IN MOVIMENTO PER FAGAGNA,Primo Turno,Udine,Fagagna,30037,Comunali del 25/05/2014,160,LIZZI,MARCO
INSIEME PER FAGAGNA,Primo Turno,Udine,Fagagna,30037,Comunali del 25/05/2014,1282,CHIARVESIO,DANIELE
FIUMICELLO in movimento,Primo Turno,Udine,Fiumicello,30038,Comunali del 25/05/2014,224,DEIURI,ANDREA
FIUMICELLO NEL CUORE,Primo Turno,Udine,Fiumicello,30038,Comunali del 25/05/2014,1521,SCRIDEL,ENNIO
SINISTRA PER FIUMICELLO,Primo Turno,Udine,Fiumicello,30038,Comunali del 25/05/2014,415,SCRIDEL,ENNIO
PARTITO LIBERALE ITALIANO,Primo Turno,Udine,Fiumicello,30038,Comunali del 25/05/2014,159,FACCHETTIN,MAURIZIO
PROGETTO FLAIBANO,Primo Turno,Udine,Flaibano,30039,Comunali del 25/05/2014,526,PICCO,LUCA
PER VIVERE QUI,Primo Turno,Udine,Forni Avoltri,30040,Comunali del 25/05/2014,224,VIDALE,CLARA
VIVERE IL PAESE,Primo Turno,Udine,Forni Avoltri,30040,Comunali del 25/05/2014,202,DEL FABBRO,FABIO
PAR FOR DI SÔRA,Primo Turno,Udine,Forni di Sopra,30041,Comunali del 25/05/2014,221,COLOMBO,FABIO
VIVERE di FORNI,Primo Turno,Udine,Forni di Sopra,30041,Comunali del 25/05/2014,185,DA RIN - CHIANTRE,DONATELLA
NUOVA IDENTITA' CIVICA FORNI DI SOPRA,Primo Turno,Udine,Forni di Sopra,30041,Comunali del 25/05/2014,251,ANZIUTTI,LINO
Insieme per il futuro par for,Primo Turno,Udine,Forni di Sotto,30042,Comunali del 25/05/2014,155,NASSIVERA,LUCA
Animaforni,Primo Turno,Udine,Forni di Sotto,30042,Comunali del 25/05/2014,44,NASSIVERA,LUCA
Forni di Sotto insieme si può,Primo Turno,Udine,Forni di Sotto,30042,Comunali del 25/05/2014,60,LENNA,MARCO
Forni di Sotto in movimento,Primo Turno,Udine,Forni di Sotto,30042,Comunali del 25/05/2014,143,LENNA,MARCO
MOVIMENTO 5 STELLE,Primo Turno,Udine,Gemona del Friuli,30043,Comunali del 25/05/2014,357,CARGNELLO,MARCO
URBANI SINDACO PER GEMONA,Primo Turno,Udine,Gemona del Friuli,30043,Comunali del 25/05/2014,2644,URBANI,PAOLO
GEMONA NEL CUORE,Primo Turno,Udine,Gemona del Friuli,30043,Comunali del 25/05/2014,1516,URBANI,PAOLO
SCELGO GEMONA,Primo Turno,Udine,Gemona del Friuli,30043,Comunali del 25/05/2014,917,DELLA MARINA,GIANPAOLO
TERRA DOMANI GEMONA DEL FRIULI,Primo Turno,Udine,Gemona del Friuli,30043,Comunali del 25/05/2014,63,CARGNELUTTI,DINO
CAMBIARE CON I GIOVANI,Primo Turno,Udine,Gonars,30044,Comunali del 25/05/2014,395,BOARO,CLAUDIO ANTONIO
NUOVA SCELTA,Primo Turno,Udine,Gonars,30044,Comunali del 25/05/2014,177,TONDON,CARLO
LISTA CIVICA,Primo Turno,Udine,Gonars,30044,Comunali del 25/05/2014,360,TONDON,CARLO
LEGA NORD,Primo Turno,Udine,Gonars,30044,Comunali del 25/05/2014,212,DEL FRATE,MARINO
FORZA GONARS FAUGLIS ONTAGNANO BORDIGA,Primo Turno,Udine,Gonars,30044,Comunali del 25/05/2014,725,DEL FRATE,MARINO
LISTA CIVICA IL COMUNE,Primo Turno,Udine,Gonars,30044,Comunali del 25/05/2014,444,DEL FRATE,MARINO
FORZA GRIMACCO,Primo Turno,Udine,Grimacco,30045,Comunali del 25/05/2014,3,QUICCIONE,MONICA
GARMAK GRIMACCO,Primo Turno,Udine,Grimacco,30045,Comunali del 25/05/2014,62,STULIN,ADRIANO
LISTA CIVICA 'PER GRIMACCO',Primo Turno,Udine,Grimacco,30045,Comunali del 25/05/2014,110,FABELLO,ELIANA
A GRIMACCO SI PUO',Primo Turno,Udine,Grimacco,30045,Comunali del 25/05/2014,91,TRUSGNACH,LUCA
INSIEME PER IL NOSTRO COMUNE,Primo Turno,Udine,Lauco,30047,Comunali del 25/05/2014,320,DELLA NEGRA,ALCIDE
INSIEME X L'ALTOPIANO,Primo Turno,Udine,Lauco,30047,Comunali del 25/05/2014,231,ADAMI,STEFANO
CIVICAMENTE LESTIZZA,Primo Turno,Udine,Lestizza,30048,Comunali del 25/05/2014,461,GUERRA,EMANUELE
PER IL BENE COMUNE,Primo Turno,Udine,Lestizza,30048,Comunali del 25/05/2014,463,SGRAZZUTTI,ELVIO
FORZA LESTIZZA,Primo Turno,Udine,Lestizza,30048,Comunali del 25/05/2014,182,GOMBOSO,GEREMIA
SIS PAR UN,Primo Turno,Udine,Lestizza,30048,Comunali del 25/05/2014,501,GOMBOSO,GEREMIA
ASSIEME NEL COMUNE,Primo Turno,Udine,Lestizza,30048,Comunali del 25/05/2014,123,GOMBOSO,GEREMIA
IL CAMBIAMENTO,Primo Turno,Udine,Lestizza,30048,Comunali del 25/05/2014,135,GRILLO,VALERIA
LEGA NORD,Primo Turno,Udine,Lestizza,30048,Comunali del 25/05/2014,124,PAGANI,RENATO
UNITI PER UNIRE,Primo Turno,Udine,Ligosullo,30050,Comunali del 25/05/2014,69,MOROCUTTI,GIORGIO
APERTI AL FUTURO,Primo Turno,Udine,Lusevera,30051,Comunali del 25/05/2014,201,MARCHIOL,GUIDO
INSIEME PER LUSEVERA BALZAROTTI SINDACO,Primo Turno,Udine,Lusevera,30051,Comunali del 25/05/2014,189,BALZAROTTI,LUCA
RESPONSABILITA' E PARTECIPAZIONE LISTA CIVICA,Primo Turno,Udine,Magnano in Riviera,30052,Comunali del 25/05/2014,274,ERMACORA,OLGA
INSIEME PER LA COMUNITA',Primo Turno,Udine,Magnano in Riviera,30052,Comunali del 25/05/2014,950,VENCHIARUTTI,ANDREA
CINQUE CAMPANILI CON SFONDO ALPINO 'UNITI PER LO SVILUPPO',Primo Turno,Udine,Malborghetto Valbruna,30054,Comunali del 25/05/2014,245,DI VORA,DARIO
UN COMUNE PER TUTTI,Primo Turno,Udine,Malborghetto Valbruna,30054,Comunali del 25/05/2014,375,PRESCHERN,BORIS
RICOSTRUIAMO MANZANO,Primo Turno,Udine,Manzano,30055,Comunali del 25/05/2014,1043,MACORIG,DANIELE
ASCOLTO INNOVAZIONE LAVORO,Primo Turno,Udine,Manzano,30055,Comunali del 25/05/2014,494,IACUMIN,MAURO
MANZANO INNOVA,Primo Turno,Udine,Manzano,30055,Comunali del 25/05/2014,577,IACUMIN,MAURO
PROGETTO MANZANO,Primo Turno,Udine,Manzano,30055,Comunali del 25/05/2014,997,ALESSIO,LORENZO
MARANO RIPARTE,Primo Turno,Udine,Marano Lagunare,30056,Comunali del 25/05/2014,621,FORMENTIN,DEVIS
UNITI PER MARANO,Primo Turno,Udine,Marano Lagunare,30056,Comunali del 25/05/2014,454,CEPILE,MARIO
LISTA CIVICA UNITI PER COSTRUIRE,Primo Turno,Udine,Mereto di Tomba,30058,Comunali del 25/05/2014,878,MORETUZZO,MASSIMO
TUTTI INSIEME PER MERETO,Primo Turno,Udine,Mereto di Tomba,30058,Comunali del 25/05/2014,476,NIGRIS,DANIELE
INT DI MUEÇ,Primo Turno,Udine,Moggio Udinese,30059,Comunali del 25/05/2014,474,MUSI,EZIO
MOGGIO E LE SUE VALLI,Primo Turno,Udine,Moggio Udinese,30059,Comunali del 25/05/2014,665,FILAFERRO,GIORGIO
INSIEME - MIGLIORARE,Primo Turno,Udine,Mortegliano,30062,Comunali del 25/05/2014,460,COMAND,ALBERTO
MORTEGLIANO LAVARIANO CHIASIELLIS COMAND SINDACO,Primo Turno,Udine,Mortegliano,30062,Comunali del 25/05/2014,409,COMAND,ALBERTO
FRONT FURLAN MORTEAN,Primo Turno,Udine,Mortegliano,30062,Comunali del 25/05/2014,261,COMAND,ALBERTO
COMUNITA' VERA,Primo Turno,Udine,Mortegliano,30062,Comunali del 25/05/2014,547,TIRELLI,MARIALETIZIA
LISTA CIVICA DEMOCRATICA,Primo Turno,Udine,Mortegliano,30062,Comunali del 25/05/2014,527,TIRELLI,MARIALETIZIA
UNITI PER UN PROGETTO COMUNE,Primo Turno,Udine,Moruzzo,30063,Comunali del 25/05/2014,1077,PIRRO',ROBERTO
PER UN COMUNE MIGLIORE,Primo Turno,Udine,Moruzzo,30063,Comunali del 25/05/2014,229,ZANARDELLI,ALICE
MUZZANA ADESSO,Primo Turno,Udine,Muzzana del Turgnano,30064,Comunali del 25/05/2014,288,SEDRAN,CRISTIAN
LABORATORIO MUZZANA,Primo Turno,Udine,Muzzana del Turgnano,30064,Comunali del 25/05/2014,315,SEDRAN,CRISTIAN
LISTA CIVICA PROSPETTIVA COMUNE,Primo Turno,Udine,Muzzana del Turgnano,30064,Comunali del 25/05/2014,481,PEVERE,LIVIO
MOVIMENTO 5 STELLE,Primo Turno,Udine,Osoppo,30066,Comunali del 25/05/2014,187,NARDINI,BATTISTA
CUMO' PAR DOMAN - ORA PER DOMANI,Primo Turno,Udine,Osoppo,30066,Comunali del 25/05/2014,651,VENTURINI,KEVIN
NOI PER OSOPPO,Primo Turno,Udine,Osoppo,30066,Comunali del 25/05/2014,723,DE SIMON,PAOLO
OBIETTIVO COMUNE,Primo Turno,Udine,Ovaro,30067,Comunali del 25/05/2014,589,BEORCHIA,MARA
DINSI UNA MAN,Primo Turno,Udine,Ovaro,30067,Comunali del 25/05/2014,103,GOTTI,ROBERTO
"RIPARTIAMO DA OVARO, PER UNA VALLATA VIVA",Primo Turno,Udine,Ovaro,30067,Comunali del 25/05/2014,495,GALLO,PIERO
IL NOSTRO COMUNE,Primo Turno,Udine,Pagnacco,30068,Comunali del 25/05/2014,482,MAZZARO,LUCA
PLAINO CON PAGNACCO,Primo Turno,Udine,Pagnacco,30068,Comunali del 25/05/2014,537,MAZZARO,LUCA
FORZA PAGNACCO,Primo Turno,Udine,Pagnacco,30068,Comunali del 25/05/2014,456,MAZZARO,LUCA
INSIEME PER PAGNACCO,Primo Turno,Udine,Pagnacco,30068,Comunali del 25/05/2014,348,FILIPPONI,ANNALISA
Pagnacco Democratica,Primo Turno,Udine,Pagnacco,30068,Comunali del 25/05/2014,494,FILIPPONI,ANNALISA
esserci con impegno,Primo Turno,Udine,Pagnacco,30068,Comunali del 25/05/2014,270,FILIPPONI,ANNALISA
"Futuro, Ambiente, Comunita'",Primo Turno,Udine,Paluzza,30071,Comunali del 25/05/2014,883,MENTIL,MASSIMO
Continuità e sviluppo per Paluzza,Primo Turno,Udine,Paluzza,30071,Comunali del 25/05/2014,467,VEZZI,ELIA
LEGA NORD,Primo Turno,Udine,Pasian di Prato,30072,Comunali del 25/05/2014,551,POZZO,ANDREA
UNIONE DI CENTRO - CON LA GENTE,Primo Turno,Udine,Pasian di Prato,30072,Comunali del 25/05/2014,257,POZZO,ANDREA
LISTA CIVICA VOLONTARIATO E SOLIDARIETA' A PASIAN DI PRATO,Primo Turno,Udine,Pasian di Prato,30072,Comunali del 25/05/2014,398,POZZO,ANDREA
FORZA PASIAN,Primo Turno,Udine,Pasian di Prato,30072,Comunali del 25/05/2014,629,POZZO,ANDREA
GRUPPI CIVICI PASIAN DI PRATO,Primo Turno,Udine,Pasian di Prato,30072,Comunali del 25/05/2014,777,URSIG,GIORGIO
CAMBIARE PASIAN DI PRATO,Primo Turno,Udine,Pasian di Prato,30072,Comunali del 25/05/2014,201,DEGANO,ROBERTA
PASIAN DI PRATO DEMOCRATICA,Primo Turno,Udine,Pasian di Prato,30072,Comunali del 25/05/2014,1023,DEGANO,ROBERTA
GPMA GIOVANI PER PASIAN DI PRATO,Primo Turno,Udine,Pasian di Prato,30072,Comunali del 25/05/2014,387,DEGANO,ROBERTA
NUOVA PROPOSTA,Primo Turno,Udine,Pavia di Udine,30074,Comunali del 25/05/2014,1957,NONINO,EMANUELA
LISTA INDIPENDENTE PER PAVIA,Primo Turno,Udine,Pavia di Udine,30074,Comunali del 25/05/2014,125,FORTE,YLENIA
PROGETTO COMUNE,Primo Turno,Udine,Pavia di Udine,30074,Comunali del 25/05/2014,520,FABRIS,RAFFAELE
