Latitude,Longitude,School name,Total pupils 2014
53.3512,-6.25505,CENTRAL SENIOR MXD N S,208
53.351,-6.25492,CENTRAL INFS SCHOOL,164
53.3432,-6.22435,NAOMH PADRAIG BOYS,119
53.3839,-6.27337,SCOIL AN CROI NAOFA,453
53.3481,-6.27083,PRESENTATION PRIMARY SCHOOL,176
53.3364,-6.31813,GOLDENBRIDGE CONVENT,267
53.3094,-6.28109,ST JOSEPHS BOYS N S,480
53.3524,-6.27975,STANHOPE ST CONVENT,346
53.35,-6.34376,CHAPELIZOD N S,30
53.37,-6.25733,ST PATRICKS N SCHOOL,488
53.3464,-6.25033,CITY QUAY BOYS N S,161
53.3509,-6.2415,ST LAURENCE O TOOLE JUNIOR BOYS,49
53.328,-6.21121,SCOIL MHUIRE,294
53.3579,-6.25793,GARDINER STREET CONVENT,304
53.3183,-6.26266,KILDARE PLACE  N S,221
53.3354,-6.27538,PRESENTATION PRIMARY SCHOOL,307
53.3104,-6.28717,PRESENTATION PRIMARY SCHOOL,576
53.364,-6.22518,HOWTH RD MXD N S,98
53.3585,-6.2413,ST COLUMBAS N S MXD,70
53.3401,-6.26619,ST ENDAS PRIMARY SCHOOL,140
53.3138,-6.27447,RATHGAR N S,95
53.3077,-6.27372,ZION PARISH PRIMARY SCHOOL,96
53.3724,-6.2665,GLASNEVIN N S,73
53.3572,-6.24568,S N SAN VINSEANN CAILIN,192
53.3431,-6.22468,ST PATRICKS GIRLS NS,164
53.3206,-6.2472,SANDFORD N S,236
53.3483,-6.34241,ST PATRICKS NS,227
53.3329,-6.28226,ST CATHERINES WEST N S,161
53.3568,-6.24589,ST VINCENTS INF BOYS,116
53.369,-6.24858,DRUMCONDRA N S,61
53.3359,-6.21716,Star of the Sea,375
53.3647,-6.2638,LINDSAY ROAD N S,99
53.3341,-6.23965,ST BRIGIDS CONVENT N S,308
53.3766,-6.27464,ST BRIGIDS CONVENT,468
53.3263,-6.27474,ST CLARES CONVENT N S,327
53.3665,-6.26255,ST COLUMBAS CON G & I,391
53.3503,-6.2758,SCOIL NA MBRATHAR,174
53.3697,-6.22915,ST VINCENT DE PAULS GIRLS SCHOOL,294
53.3698,-6.22945,ST VINCENTS CONVENT INF N S,390
53.3705,-6.23148,S N MHUIRE NA MBRATHAR,297
53.3385,-6.27397,ST BRIGIDS PRIMARY SCHOOL,245
53.3783,-6.20474,ST BRIGIDS CONVENT N S,431
53.3746,-6.25651,CORPUS CHRISTI N S,421
53.329,-6.29493,SCOIL MHUIRE OGH 1,152
53.3094,-6.2739,SCOIL NAISIUNTA STRATFORD,111
53.3633,-6.28428,CHRIST THE KING B N S,83
53.3634,-6.2849,CHRIST THE KING G N S,94
53.3374,-6.32414,S N MUIRE GAN SMAL B,323
53.4033,-6.20396,ST FRANCIS JUNIOR NATIONAL SCHOOL,171
53.3529,-6.24281,NAOMH LORCAN O TUATHAIL,73
53.3634,-6.19651,S N EOIN BAISDE G SEN,424
53.3243,-6.26761,CLOCHAR LUGHAIDH CAILIN,370
53.3244,-6.26663,CLOCHAR LUGHAIDH NAOIDH,310
53.3674,-6.27404,St. Vincent's Primary School,314
53.334,-6.24004,SCOIL MUIRE,164
53.3846,-6.24514,SCOIL AN LEINBH IOSA B,208
53.3299,-6.31748,MUIRE NA DEA COIRLE G,137
53.3303,-6.31594,MUIRE NA DEA COIRLE INF,149
53.3714,-6.30769,SCOIL MHUIRE GNS,430
53.3634,-6.28561,CHRIST THE KING I G,57
53.3689,-6.29659,"FIONNBARRA NAOFA B.N.S.,",135
53.3698,-6.30681,DOMINICAN CONVENT GIRLS,155
53.3701,-6.30621,ST CATHERINES INFANT SCHOOL,182
53.3298,-6.28637,SCOIL IOSAGAIN,101
53.3299,-6.2955,MUIRE OG 2 LORETO CON,215
53.3652,-6.18848,S N NA LANAI GLASA,244
53.3737,-6.21391,SCOIL CHIARAIN,118
53.3582,-6.25023,SCOIL UI CHONAILL,167
53.36,-6.3579,SCOIL MHUIRE,248
53.3331,-6.26628,SANCTA MARIA C B S,81
53.3676,-6.31314,S N EOIN BOSCO BUACH,361
53.3636,-6.19845,S N EOIN BAISDE B SIN,326
53.3783,-6.17587,SCOIL ASSAIM B,272
53.3781,-6.17642,SCOIL AINE C,319
53.3777,-6.17734,NAISCOIL IDE,394
53.3874,-6.30584,S N NAOMH FEARGAL,105
53.3227,-6.33116,SN MUIRE NA FREASTOGALA,190
53.323,-6.33134,OUR LADY ASSUMPTION BNS,236
53.3881,-6.30255,S N AN PHAROISTE,65
53.3371,-6.22019,SN PAROISTE MAITIU NFA,207
53.3841,-6.19521,SCOIL BHREANDAIN,159
53.3848,-6.19717,S N CAITRIONA C,184
53.3849,-6.1967,S N CAITRIONA NAIONAIN,223
53.3258,-6.2923,MARIST NATIONAL SCHOOL,307
53.3233,-6.33183,OUR LADY OF ASSUMPTION,238
53.3412,-6.27254,SCOIL NA MBRATHAR,130
53.3462,-6.36022,SN BANRION NA NAINGEAL1,128
53.3681,-6.31347,S N EOIN BOSCO NAI BUAC,257
53.3821,-6.17857,SPRINGDALE N S,184
53.389,-6.29108,ST CANICES B N S,431
53.3892,-6.29581,ST CANICES G N S,418
53.3637,-6.23271,S N SEOSAMH NA MBRATHAR,167
53.3216,-6.25627,S N BRIGHDE,429
53.3463,-6.36089,BAINRION NA N-AINGAL 2,101
53.3885,-6.26611,BANTIARNA NA MBUANNA B,185
53.3888,-6.26731,BANTIARNA NA MBUANNA G,155
53.3879,-6.17959,ST MALACHYS B N S,217
53.3893,-6.17981,ST EITHNES SENIOR G N S,135
53.3632,-6.19617,EOIN BAISDE B SOIS,327
53.3634,-6.19844,EOIN BAISDE C NAOIDH,259
53.3958,-6.30836,ST JOSEPHS G N S,196
53.3891,-6.17962,ST MONICAS N S,65
53.3949,-6.30892,ST KEVINS B N S,173
53.3957,-6.26894,HOLY SPIRIT B N S,338
53.3954,-6.27014,SN AN SPIORAID NAIOMH C,273
53.3885,-6.26564,OUR LADY OF VICTORIES INFANT N S,246
53.3949,-6.21899,CROMCASTLE GREEN B N S,218
53.3946,-6.21903,SCOIL NAIS IDE CAILINI,185
53.3955,-6.25949,SN NA MAIGHDINE MUIRE B,131
53.3955,-6.26007,NA MAIGHDINE MHUIRE,127
53.3746,-6.19444,ST BRIGIDS BOYS N S,387
53.3819,-6.19545,SCOIL NEASAIN,251
53.3732,-6.26225,SCOIL MOBHI,259
53.397,-6.15963,HOLY TRINITY SEN N S,328
53.3924,-6.26384,SCOIL AN TSEACHTAR LAOCH,210
53.4009,-6.26947,ST JOSEPHS JNR,144
53.4011,-6.19248,DARNDALE NS JUNIOR,208
53.3947,-6.18266,ST PAULS JUNIOR NATIONAL SCHOOL,233
53.3969,-6.16013,SCOIL BHRIDE,343
53.3389,-6.27085,ST PATRICKS,29
53.3804,-6.31115,SN NAOMH FINNIN,228
53.387,-6.22568,SCOIL FHIACHRA SOISIR,686
53.4016,-6.19244,OUR LADY IMMAC SEN N S,238
53.3963,-6.15686,ST KEVINS JUNIOR N S,103
53.3816,-6.29882,ST OLIVER PLUNKETT N S,148
53.4011,-6.27094,ST JOSEPHS SENIOR N S,129
53.3438,-6.31087,GAELSCOIL INSE CHOR,236
53.3966,-6.15832,SCOIL NAOMH COLMCILLE,133
53.395,-6.18278,ST PAULS SEN NS,233
53.3822,-6.29885,ST MALACHYS NS,135
53.3874,-6.22344,ST FIACHRAS SEN N S,619
53.3427,-6.34635,ST GABRIELS NS,210
53.3431,-6.34712,ST MICHAELS NS,279
53.3429,-6.34677,ST RAPHAELS NS,228
53.4036,-6.20494,ST FRANCIS SENIOR N S,194
53.3297,-6.31649,LADY OF GOOD COUNSEL NS,167
53.3208,-6.23796,ST MARYS CENTRAL N S,250
53.3311,-6.33694,OUR LADY OF WAYSIDE N S,122
53.3542,-6.22783,ST JOSEPHS MXD N S,170
53.3853,-6.15193,GAELSCOIL MIDE,236
53.3511,-6.25673,SCOIL CHAOIMHIN,46
53.3241,-6.32996,DRIMNAGH CASTLE CBS N S,444
53.3817,-6.26733,NORTH DUBLIN NS PROJECT,228
53.3204,-6.30651,SCOIL COLM,119
53.336,-6.24486,SCOIL CAITRIONA NA MBRAITHRE,91
53.3171,-6.2844,GAELSCOIL MOLOGA,216
53.3979,-6.20225,ST JOSEPHS NS,335
53.3856,-6.21627,ST DAVIDS N S,329
53.3894,-6.21635,ST JOHN OF GOD N S,178
53.3171,-6.28479,HAROLDS CROSS N S,271
53.3534,-6.26113,GAELSCOIL CHOLAISTE MHUIRE,192
53.3266,-6.25673,RANELAGH MULTI DENOM NS,236
53.386,-6.30917,ST BRIGIDS SENIOR GIRLS,178
53.3342,-6.2784,SCOIL TREASA NAOFA,148
53.3868,-6.1561,SCOIL EOIN,205
53.3542,-6.25156,RUTLAND STREET N S,130
53.3851,-6.15159,NORTH BAY EDUCATE TOGETHER NS,208
53.3639,-6.23732,ST MARYS N S,221
53.3309,-6.27898,GRIFFITH BARRACKS MULTI D SCHOOL,242
53.3191,-6.30631,ST AGNES N S,273
53.3978,-6.25488,GAELSCOIL BHAILE MUNNA,186
53.3863,-6.30836,ST BRIGIDS INFANT N S,205
53.3536,-6.28971,ST GABRIELS N S,143
53.3645,-6.28849,GAELSCOIL BHARRA,210
53.3219,-6.25582,GAELSCOIL LIOS NA NOG,238
53.3958,-6.22963,GAELSCOIL CHOLMCILLE,230
53.3861,-6.2865,MOTHER OF DIVINE GRACE,450
53.3741,-6.21589,OUR LADY OF CONSOLATION NS,244
53.3615,-6.2756,ST PETERS NS,456
53.3366,-6.37293,ST ULTANS NS,406
53.3342,-6.23636,JOHN SCOTTUS NS,252
53.3441,-6.2734,ST AUDOENS NS,185
53.3551,-6.28444,EDUCATE TOGETHER NS,380
53.3412,-6.31914,INCHICORE NS,219
53.3634,-6.30079,NORTH DUBLIN MUSLIM NS PROJECT,228
53.3763,-6.26801,GLASNEVIN EDUCATE TOGETHER NS,230
53.3902,-6.31024,GAELSCOIL UI EARCAIN,235
53.353,-6.24271,ST LAURENCE O TOOLES GIRLS SCHOOL,86
53.3882,-6.16332,St Benedicts and St Marys National School,149
53.4084,-6.16434,St. Francis of Assisi National School,306
53.4081,-6.16553,Belmayne Educate Together National School,295
53.3857,-6.24415,Holy Child National School,426
53.3447,-6.35318,De La Salle National School,279
53.348,-6.3586,St Louise de Marillac Primary School,354
53.3405,-6.28924,ST. JAMES'S PRIMARY SCHOOL,243
53.3316,-6.25654,Portobello Educate Together School,41
53.3585,-6.2631,St Mary's Primary School,174
53.3965,-6.13231,St Laurence's National School,395
53.264,-6.22852,St. Mary's National School,257
53.292,-6.13709,CLOCHAR SAN DOMINIC,160
53.3087,-6.19796,BOOTERSTOWN BOYS,248
53.2891,-6.1799,ALL SAINTS N S,61
53.2359,-6.12673,RATHMICHAEL N S,225
53.2969,-6.18208,CARYSFORT NS,524
53.2813,-6.10204,DALKEY N S (2),99
53.2782,-6.10271,HAROLD BOYS N S,121
53.2885,-6.2373,TANEY N S,443
53.2686,-6.16828,ST BRIGIDS BOYS N S,489
53.2689,-6.16839,ST BRIGIDS GIRLS N S,548
53.2425,-6.1992,KILTERNAN CHURCH OF IRELAND NS,226
53.2851,-6.19573,ST BRIGIDS N S,96
53.2883,-6.20615,S N NAOMH LORCAN,457
53.2816,-6.20399,ST RAPHAELAS N S,396
53.2221,-6.21636,S N PADRAIG NAOFA,184
53.2909,-6.20429,SCOIL CAOIMHIN NAOFA,430
53.3051,-6.19942,OUR LADY OF MERCY CONVENT SCHOOL,219
53.289,-6.21677,S N CNOC AINBHIL,464
53.2964,-6.16381,SCOIL LORCAIN,488
53.2946,-6.20907,S N SAN TREASA,444
53.2355,-6.19507,KILTERNAN N S 1,329
53.278,-6.16092,KILL-O'-THE-GRANGE NS,221
53.2801,-6.10039,LORETO NATIONAL SCHOOL,373
53.2799,-6.17398,SCOIL PADRAIG NAOFA B,606
53.2794,-6.17451,ST PATRICKS GNS,538
53.275,-6.25704,SCOIL NA MAIGHDINE MHUIRE BOY,234
53.2823,-6.22543,ST OLAFS N S,440
53.2644,-6.13766,OUR LADY OF GOOD COUNSEL BOYS N S,438
53.2636,-6.138,OUR LADY GOOD COUNSEL GNS,455
53.2923,-6.17048,SCOIL NA AINGEAL,430
53.2997,-6.23482,Our lady's Grove Primary School,432
53.2748,-6.25702,NA MAIGHDINE MUIRE GIRL,277
53.2692,-6.1148,SN GLEN NA GCAORACH,244
53.282,-6.26057,SCOIL NAITHI,234
53.2545,-6.13362,SCOIL COLMCILLE SENIOR,193
53.236,-6.12092,SCOIL MHUIRE,308
53.2807,-6.25536,ST ATTRACTAS JUNIOR N S,339
53.2745,-6.13204,DALKEY SCHOOL PROJECT,238
53.254,-6.13375,ST COLMCILLE JUN NS,164
53.2811,-6.25474,ST ATTRACTAS SENIOR N S,330
53.2761,-6.22508,QUEEN OF ANGELS PRIMARY SCHOOL,245
53.2861,-6.15279,HOLY FAMILY SCHOOL,108
53.234,-6.12801,ST ANNES MXD N S,478
53.3003,-6.19003,BOOTERSTOWN N S,97
53.2883,-6.24041,HOLY CROSS N S,211
53.3014,-6.24896,OUR LADYS N S,180
53.2864,-6.13902,ST JOSEPHS,106
53.2934,-6.26852,SCOIL NAISIUNTA AN DEA AOIRE,180
53.2916,-6.27366,RATHFARNHAM EDUCATE TOGETHER,226
53.3037,-6.23326,ISLAMIC NATIONAL SCHOOL,289
53.2558,-6.1273,ST JOHNS N S,156
53.2762,-6.13734,ST KEVINS N S,134
53.2593,-6.21438,GAELSCOIL THAOBH NA COILLE,381
53.2482,-6.12365,GAELSCOIL PHADRAIG,146
53.2805,-6.14958,MONKSTOWN EDUCATE TOGETHER NS,379
53.2858,-6.12464,THE HAROLD SCHOOL,630
53.2616,-6.19546,HOLY TRINITY NATIONAL SCHOOL,350
53.2469,-6.12598,ARCHBISHOP MCQUAID NATIONAL SCHOOL,120
53.2818,-6.2382,Ballinteer Educate Together National School,59
53.2456,-6.1981,Stepaside Educate Together National School,42
53.245,-6.19825,Gaelscoil Shliabh Rua,8
53.3749,-6.36123,ST BRIGIDS MXD N S,947
53.5787,-6.28467,S N NA H-AILLE,107
53.6151,-6.23121,BALSCADDEN N S,219
53.3911,-6.0993,BURROWS N S,219
53.422,-6.13401,SCOIL NAOMH MEARNOG,412
53.4487,-6.15199,ST ANDREWS N S,224
53.4572,-6.22217,SWORDS BOROUGH N S,110
53.5795,-6.10656,HOLMPATRICK N S,91
53.6062,-6.20487,ST GEORGES N S,390
53.5644,-6.14656,SCOIL MOIBHI,95
53.5165,-6.18971,CORDUFF N S,111
53.4927,-6.13528,ST PATRICKS BOYS NATIONAL SCHOOL,383
53.5778,-6.10919,ST PATRICKS SNR MIXED,340
53.5778,-6.10843,ST PATRICKS JNR MIXED,344
53.4145,-6.39138,SCOIL NAOMH LUCAIS,496
53.5462,-6.08918,SCOIL N. BREANDAN,216
53.6156,-6.18945,ST MOLAGA SENIOR NS,448
53.6097,-6.18752,S N PEADAR AGUS POL N,460
53.5243,-6.31754,S N MUIRE AN SEAN BAILE,59
53.5505,-6.20659,BAILE FALBACH,92
53.5626,-6.38412,S N MHUIRE,238
53.5894,-6.18489,BLESSED OLIVER N S,342
53.4634,-6.34376,CILL COSCAIN,102
53.4206,-6.17507,SAN NIOCLAS MYRA,129
53.4909,-6.29847,BRIGHDE NAOFA,287
53.4462,-6.14978,ST OLIVER PLUNKETT,921
53.4493,-6.16243,SN N SAILBHEASTAR NFA,412
53.529,-6.16694,S N LUSCA,794
53.43,-6.29954,ST MARGARETS N S,86
53.3841,-6.37236,SCOIL BRIDE B,322
53.3843,-6.37306,SCOIL BRIDE C,321
53.3842,-6.06794,SCOIL MHUIRE MXD,298
53.4925,-6.13462,S N C NAOMH PADRAIG,433
53.374,-6.36131,SCOIL NAISUNTA CHNUACHA,217
53.3818,-6.40423,S N NAOMH MOCHTA,892
53.4583,-6.2138,S N CHOLMILLE B,395
53.4574,-6.21341,S N CHOLMCILLE C,453
53.5209,-6.26577,BALLYBOGHILL N S,195
53.3893,-6.14614,MHUIRE IOSEF JUNIOR,446
53.3831,-6.38229,ST FRANCIS XAVIER J N S,402
53.4589,-6.23548,ST CRONAN,651
53.3824,-6.38229,ST FRANCIS XAVIER SENIOR N S,365
53.3871,-6.39686,SN OILIBHEIR,259
53.6033,-6.17305,SN NAOMH TREASA,473
53.3897,-6.14589,S N MUIRE AGUS IOSEF,435
53.4587,-6.23448,BRACKENSTOWN SENIOR N S,601
53.3986,-6.37495,CORDUFF N S,258
53.3801,-6.09417,ST FINTANS NS,464
53.4388,-6.13483,ST HELENS JUNIOR N S,325
53.3897,-6.40584,ST PHILIP THE APOSTLE JUNIOR N S,290
53.3973,-6.40002,SCOIL NAIS MHUIRE SOIS,277
53.5348,-6.09828,SCOIL NAIS CAITRIONA,306
53.5801,-6.11971,Scoil R�alt na Mara,440
53.4538,-6.16821,JOHN PAUL II N S,602
53.3987,-6.37605,ST PATRICKS SENIOR SCHOOL,303
53.3894,-6.40618,ST PHILIPS  SENIOR N S,303
53.3935,-6.41981,ST CIARANS N S,777
53.5204,-6.10335,RUSH NS,725
53.4524,-6.29158,MARY QUEEN OF IRELAND N S,68
53.3976,-6.399,SCOIL MHUIRE SIN,284
53.4519,-6.24108,HOLY FAMILY JUNIOR N S,671
53.4023,-6.40911,SACRED HEART N S,869
53.4397,-6.13515,ST HELENS SENIOR N S,234
53.378,-6.37685,SCOIL THOMAIS,687
53.4058,-6.39109,LADYSWELL N S,641
53.4522,-6.24094,HOLY FAMILY SENIOR N S,581
53.4466,-6.19886,GAELSCOIL AN DUINNINIGH,364
53.4732,-6.24911,GAELSCOIL BHRIAN B�ROIMHE,427
53.3797,-6.36187,CASTLEKNOCK EDUCATE TOGETHER NS,436
53.3687,-6.38643,ST PATRICKS NS,736
53.4045,-6.42294,MARY  MOTHER OF HOPE SENIOR NS,476
53.4724,-6.24943,SWORDS EDUCATE TOGETHER NS,444
53.4893,-6.14564,DONABATE/PORTRANE EDUCATE TOGETHER,493
53.5287,-6.15594,RUSH AND LUSK EDUCATE TOGETHER NS,326
53.3932,-6.44173,CASTAHEANY EDUCATE TOGETHER NS,448
53.4144,-6.38932,TYRRELSTOWN EDUCATE TOGETHER NATIONAL SCHOOL,581
53.6123,-6.20556,BALBRIGGAN EDUCATE TOGETHER NS,399
53.3929,-6.43991,ST BENEDICTS NATIONAL SCHOOL,636
53.3758,-6.40789,Scoil Choilm Community NS,548
53.3979,-6.43464,Scoil Ghrainne Community National School,513
53.6004,-6.17815,GAELSCOIL BHAILE BRIGIN,401
53.6013,-6.17753,Scoil Chormaic,276
53.6006,-6.1772,Bracken Educate Together N.S.,403
53.4721,-6.23275,Thornleigh Educate Together National School,255
53.5831,-6.13352,Skerries Educate Together National School,237
53.4042,-6.42381,Mary Mother of Hope Junior National School,460
53.532,-6.10515,Gaelscoil Ros Eo,133
53.4443,-6.20821,Holywell Educate Together National School,326
53.4047,-6.42627,Hansfield Educate Together National School,141
53.4143,-6.38824,Powerstown Educate Together National School,95
53.4144,-6.38875,Gaelscoil an Chuilinn,52
53.3593,-6.4427,LUCAN B N S,489
53.291,-6.27787,CLOCHAR LORETO N S,527
53.2862,-6.29348,BALLYROAN    B N S,359
53.2717,-6.28132,WHITECHURCH NAT SCHOOL,156
53.36,-6.43863,ST ANDREWS N S,279
53.28,-6.47475,HOLY FAMILY NATIONAL SCHOOL,601
53.3587,-6.43903,SCOIL MHUIRE,685
53.2932,-6.30247,RATHFARNHAM PARISH N S,233
53.2989,-6.50124,CAISLEAIN NUA LIAMHNA,395
53.3249,-6.34484,S N NAOMH CILLIN,23
53.2785,-6.44317,S N  NAOMH MHUIRE,482
53.2849,-6.33634,SCOIL CARMEL,447
53.2685,-6.2985,S N BHAILE EAMONN,90
53.2452,-6.35666,GLEN NA SMOL N S,76
53.2348,-6.4514,S N BRIOTAS,102
53.3522,-6.36807,SCOIL LORCAIN B,371
53.3519,-6.36868,SCOIL BRIDE C,352
53.2901,-6.35635,ST MARYS SCHOOL,363
53.3177,-6.39344,SCOIL MHUIRE,363
53.3215,-6.39358,S N NAOMH EOIN,89
53.3171,-6.39407,SCOIL NAOMH SEOSAMH,415
53.2861,-6.29921,ST PATRICK GNS,496
53.3048,-6.32744,ST PETERS B N S,192
53.3084,-6.32831,ST PAULS G N S,260
53.3025,-6.30449,ST PIUS X N S BOYS,520
53.3024,-6.30377,ST PIUS X G N S,525
53.3171,-6.39127,SCOIL NAOMH IDE,297
53.3169,-6.3913,SCOIL NAOMH AINE,286
53.2868,-6.38635,ST MARKS SEN NS,518
53.2946,-6.28293,SCOIL MHUIRE BOYS,478
53.2776,-6.36164,SCOIL MAELRUAIN JUNIOR,434
53.2777,-6.36201,SCOIL MAELRUAIN SENIOR,363
53.2855,-6.356,SN NAOMH COLMCILLE,38
53.3011,-6.35773,ST KEVINS BOYS,281
53.3012,-6.35798,ST KEVINS GIRLS,268
53.2867,-6.38591,ST MARKS JUNIOR N S,566
53.2838,-6.31507,SCOIL COLMCILLE NAOFA,762
53.2784,-6.28835,SCOIL MHUIRE,232
53.2978,-6.31768,BISHOP GALVIN NS,477
53.2928,-6.34443,SCOIL AENGHUSA JUN NS,210
53.2815,-6.46681,SCOIL CHRONAIN,268
53.3259,-6.41247,SCOIL NANO NAGLE,321
53.3259,-6.41221,TALBOT SENIOR NS,319
53.2981,-6.38477,BELGARD HEIGHTS N S,376
53.3484,-6.44805,ST THOMAS JUNIOR NATIONAL SCHOOL,511
53.2766,-6.38138,SCOIL N AN CROI RO NAOFA,282
53.3066,-6.36856,ST KILLIANS JUNIOR SCHOOL,270
53.2806,-6.33806,SCOIL TREASA FIRHOUSE,387
53.3264,-6.40031,OUR LADY QUEEN OF APOSTLES,551
53.3367,-6.39997,NEILLSTOWN N S,293
53.2838,-6.27229,MARLEY GRANGE NS,482
53.3431,-6.3942,ST MARYS JUNIOR N S,232
53.2923,-6.345,S N AENGHUSA,197
53.295,-6.33962,SCOIL IOSA,79
53.2822,-6.39119,ST MAELRUAINS  N S,92
53.2755,-6.39144,SCOIL CNOC MHUIRE SIN,129
53.2748,-6.37057,ST MARTIN DE PORRES N S,461
53.3086,-6.32744,ST PAULS JUN NS,230
53.3367,-6.40115,ST PETER APOSTLE SEN NS,239
53.2839,-6.34656,SCOIL SANTAIN,370
53.3426,-6.39537,ST MARYS SEN N S,225
53.2765,-6.38086,AN CHROI RO NAOFA SOIS,284
53.2982,-6.31747,BISHOP SHANAHAN NS,458
53.3489,-6.44766,SCOIL AINE NAOFA,551
53.2786,-6.40347,ST THOMAS JUNIOR N S,432
53.323,-6.42535,ST RONANS N S,445
53.2844,-6.31569,ST COLMCILLE SENIOR N S,696
53.3494,-6.39694,ST BERNADETTES JUNIOR N S,236
53.2786,-6.40229,ST THOMAS SENIOR N S,456
53.2756,-6.3909,SCOIL CNOC MHUIRE JUNIOR,181
53.2869,-6.40336,ST BRIGIDS N S,331
53.3502,-6.39638,ST BERNADETTES SENIOR N S,219
53.3143,-6.40122,SACRED HEART N S,438
53.3507,-6.46626,ST MARYS N S,415
53.2861,-6.4037,ST AIDANS NS,317
53.3234,-6.40139,GAELSCOIL CHLUAIN DOLCAIN,289
53.3403,-6.41483,DIVINE MERCY JUNIOR NATIONAL SCHOOL,556
53.2759,-6.39225,SCOIL CHAITLIN MAUDE,273
53.273,-6.34771,Holy Rosary Primary School,617
53.306,-6.36941,ST KILIANS SENIOR N S,208
53.3504,-6.43454,GAELSCOIL NAOMH PADRAIG,481
53.314,-6.32033,ST DAMIENS NS,247
53.2857,-6.35646,ST DOMINICS N S,219
53.3234,-6.39198,GAELSCOIL NA CAMOIGE,231
53.2843,-6.3258,GAELSCOIL CHNOC LIAMHNA,230
53.351,-6.4245,LUCAN EDUCATE TOGETHER NS,448
53.3411,-6.43284,GRIFFEEN VALLEY EDUCATE TOGETHER NS,443
53.2904,-6.39105,ST ANNES PRIMARY SCHOOL,438
53.3396,-6.41582,DIVINE MERCY SENIOR NATIONAL SCHOOL,611
53.3361,-6.45993,St. John the Evangelist National School,372
53.3479,-6.43579,GAELSCOIL EISCIR RIADA,456
53.336,-6.45904,Adamstown Castle Educate Together National School,323
53.3359,-6.45906,Esker Educate Together N.S.,373
53.3381,-6.43157,Lucan East ETNS,416
53.2838,-6.43635,Scoil Niamh Community National School,92
53.2838,-6.43635,City West Educate Together National School,92
53.2754,-6.36575,Firhouse Educate Together National School,21
53.2767,-6.33773,Gaelscoil na Gi�ise,6
53.3389,-6.41909,Scoil Oscair,13