Name,Polling_Station_ID,Street,Location,When_To_Vote_Here,LAT,LONG
Educate Together National School,39,,Tyrrelstown,"Local, Dáil, Referenda, Presidential",53.4214283107554,-6.38248796860221
Castaheany Educate Together N.S,38,Hansfield Road,Ongar Village,"Local, Dáil, Referenda, Presidential",53.3934499130658,-6.4428019292309
Scoil Duinninigh,15,Feltrim Road,Kinsealy,"Local, Dáil, Referenda, Presidential",53.4466160378952,-6.19967526385059
St Cronans National School,36,Brackenstown Road,Swords,"Local, Dáil, Referenda, Presidential",53.4589440824727,-6.23624500055003
Church of Ireland N.S.,1,Main Street,Castleknock,"Local, Dáil, Referenda, Presidential",53.3742356478518,-6.36242122575587
Naomh Mochta N.S.,2,Porterstown Road,Clonsilla,"Local, Dáil, Referenda, Presidential",53.3818130630787,-6.40488000884594
Mary Mother of Hope N.S.,4,Littlepace Road,Mulhuddart,"Local, Dáil, Referenda, Presidential",53.4047244614074,-6.42444702964939
Sacred Heart of Jesus N.S.,6,Huntstown Way,Huntstown,"Local, Dáil, Referenda, Presidential",53.4026358813205,-6.41005503903183
St Margarets N.S.,8,Sandyhill,St Margarets,"Local, Dáil, Referenda, Presidential",53.430319846328,-6.30052855551214
Burrow N.S.,9,Howth Road,Sutton,"Local, Dáil, Referenda, Presidential",53.3911290456575,-6.10023359636164
St Peter and Pauls Boys N.S.,10,Brookstone Road,Baldoyle,"Local, Dáil, Referenda, Presidential",53.3964339902247,-6.1328903151384
Bayside N.S.,11,Verbena Ave,Bayside,"Local, Dáil, Referenda, Presidential",53.3895840957062,-6.14706417480958
Scoil Mhuire N.S.,12,Tuckets Lane,Howth,"Local, Dáil, Referenda, Presidential",53.3844379885096,-6.0690138069299
St Marnocks N.S.,14,Strand Road,Portmarnock,"Local, Dáil, Referenda, Presidential",53.4222165718242,-6.13502811722247
St Colmcilles Boys National School,16,Chapel Lane,Swords,"Local, Dáil, Referenda, Presidential",53.4584842301636,-6.21469149331593
Holy Family National School,17,Rivervalley,Swords,"Local, Dáil, Referenda, Presidential",53.4521829890665,-6.24188713595124
St Andrews Church Of Ireland National School,18,Church Road,Malahide,"Local, Dáil, Referenda, Presidential",53.4489127941346,-6.15294128866049
Rolestown N.S.,19, ,Kilsallaghan,"Local, Dáil, Referenda, Presidential",53.4917387978751,-6.30037480721848
Lusk N.S.,21,Chapel Road,Lusk,"Local, Dáil, Referenda, Presidential",53.5291810314819,-6.16819466461385
Ballyboghil N.S.,22,Naul Road,Ballyboghil,"Local, Dáil, Referenda, Presidential",53.521190916604,-6.26668635262603
Oldtown N.S.,23, ,Oldtown,"Local, Dáil, Referenda, Presidential",53.5244868204126,-6.31845884798115
Rush N.S.,24,Channel Road,Rush,"Local, Dáil, Referenda, Presidential",53.520722327122,-6.1043408104635
Naul Community Hall,25,Naul Hill,Naul,"Local, Dáil, Referenda, Presidential",53.5788892663862,-6.28559580948831
Garristown N.S.,26,The Green,Garristown,"Local, Dáil, Referenda, Presidential",53.5628140750657,-6.38502799503954
Balrothery N.S.,27,Coach Road,Balrothery,"Local, Dáil, Referenda, Presidential",53.5896083743554,-6.18587331606038
Skerries Community Centre,28,Dublin Road,Skerries,"Local, Dáil, Referenda, Presidential",53.5777692761342,-6.11127404926253
Loughshinny N.S.,29,Ballykea,Loughshinny,"Local, Dáil, Referenda, Presidential",53.5464537099921,-6.0901021357027
Combined Clubs Hall,30,Dublin Street,Balbriggan,"Local, Dáil, Referenda, Presidential",53.6074588458721,-6.18375223859197
Balscadden Community Centre,31, ,Balscadden,"Local, Dáil, Referenda, Presidential",53.6175382705828,-6.23616363090189
Scoil Mhuire,32,Blakestown Road,Blakestown,"Local, Dáil, Referenda, Presidential",53.3977511877456,-6.40056463014255
St Ciarans N.S.,33,Hartstown Road,Hartstown,"Local, Dáil, Referenda, Presidential",53.3938337038371,-6.42058401587158
St Philips the Apostle N.S.,34,Mountview Road,Mountview,"Local, Dáil, Referenda, Presidential",53.3899114468012,-6.40732179749212
Ladyswell National School,35,Dromheath Gardens,Ladyswell,"Local, Dáil, Referenda, Presidential",53.4060063642714,-6.39193555886304
Mary Queen of Ireland N.S.,40,Rivermeade Estate,Toberburr,"Local, Dáil, Referenda, Presidential",53.4526106987322,-6.29257256073326
St. Molagas National School,37,Drogheda Street,Balbriggan,"Local, Dáil, Referenda, Presidential",53.6157511725633,-6.19043607497521
Pope John Paul National School,42,Inbhir Ide Drive,Malahide,"Local, Dáil, Referenda, Presidential",53.4540654303328,-6.16919642448859
Scoil Thomais,43,Laurel Lodge Road,Castleknock,"Local, Dáil, Referenda, Presidential",53.3781668067669,-6.37781500000756
St Brigids National School,44,Beechpark Avenue,Castleknock,"Local, Dáil, Referenda, Presidential",53.3751399226011,-6.36219537590099
St Helens National School,47,Limetree Avenue,Portmarnock,"Local, Dáil, Referenda, Presidential",53.4393892333821,-6.13595641515765
Youth Reach VEC,49,Main Street,Blanchardstown,"Local, Dáil, Referenda, Presidential",53.3873948093173,-6.37920826443053
St Nicholas of Myra Parish Hall (old Kinsealy National School),50,Malahide Road,Kinsealy,"Local, Dáil, Referenda, Presidential",53.4252848200122,-6.17618456417894
St Canices Boys National School,45,Glasanaon Road,Finglas,"Local, Dáil, Referenda, Presidential",53.3893545449535,-6.29207777988303
St Fergals Boys National School,46,Cappagh Road,Cappagh,"Local, Dáil, Referenda, Presidential",53.3877494415466,-6.30687927381558
Applewood Community Centre,53,Applewood Village,Swords,"Local, Dáil, Referenda, Presidential",53.4718313383366,-6.24631495764833
St Patricks N.S.,48,Carpenterstown Road,Diswellstown,"Local, Dáil, Referenda, Presidential",53.3720222399656,-6.39112847438413
St Patricks Senior National School,5,"Blackcourt Road,Corduff",Corduff,"Local, Dáil, Referenda, Presidential",53.3987912429305,-6.37746186877252
Scoil Bhride Boys N.S.,3,Church Avenue,Blanchardstown,"Local, Dáil, Referenda, Presidential",53.3843840641504,-6.37331795423454
Santry Parish,51,,Santry Parish Centre,"Dáil, Referenda, Presidential",53.3961727981943,-6.24307487435121
Donabate & Portrane Community Centre,54,Portrane Road,Donabate,"Local, Dáil, Referenda, Presidential",53.4898146068473,-6.14374341891695
