Organisation,Addr1,Addr2,Addr3,Addr4,ITMEast,ITMNorth
ADULT EDUCATION SERVICES,CLONDALKIN ADULT & YOUTH EDUCATION CENTRE,CLONDALKIN ADULT & YOUTH EDUCATION CENTRE,MONASTERY ROAD,CLONDALKIN,707180.128,731352.732
ADULT GUIDANCE SERVICE,CLONDALKIN ADULT & YOUTH EDUCATION CENTRE,CLONDALKIN ADULT & YOUTH EDUCATION CENTRE,MONASTERY ROAD,CLONDALKIN,707180.128,731352.732
C.D.V.E.C.,NULL,MOUNTAIN PARK,TALLAGHT,DUBLIN 24,709397.823,727264.698
CARLINE PROJECT,NULL,LYNCH'S LANE,LUCAN,CO. DUBLIN,704686.88,733098.728
CHEEVERSTOWN ENTERPRISES LIMITED,AIRTON CENTRE,AIRTON CENTRE,AIRTON ROAD,TALLAGHT,709345.82,728289.408
CLONDALKIN ADULT MORNING EDUCATION,CLONDALKIN ADULT & YOUTH EDUCATION CENTRE,CLONDALKIN ADULT & YOUTH EDUCATION CENTRE,MONASTERY ROAD,CLONDALKIN,707180.128,731352.732
CLONDALKIN TRAVELLERS TRAINING & ENTERPRISE COMPANY LIMITED,NULL,UNIT 6,CLONDALKIN ENTERPRISE CENTRE,NEILSTOWN ROAD,706433.161,733122.194
COUNTY DUBLIN VOCATIONAL EUCATIONAL COMMITTEE,LIFE CENTRE,COUNTY DUBLIN VOCATIONAL EUCATIONAL COMMITTEE,LIFE CENTRE,LUCAN NEWLANDS ROAD,703290.37,735078.363
DES PLACES EDUCATION ASSOCIATION,NULL,3 KIMMAGE MANOR,WHITEHALL ROAD,TERENURE,712776.221,729995.353
EDEN COMPUTER TRAINING,EDEN SHOPPING CENTRE,EDEN SHOPPING CENTRE,EDEN AVENUE,RATHFARNHAM,715064.065,727032.246
ENDEAVOUR,NULL,UNIT 12,TRINITY COURT,FONTHILL ROAD,705776.997,733989.185
EURO COMPUTER TRAINING CENTRE LTD.,NULL,UNIT 3,WILLOW BUSINESS PARK,KNOCKMITTEN LANE,709082.549,731780.034
FÁS,NULL,FÁS,UNIT A2,NANGOR ROAD BUSINESS PARK,708315.561,732149.381
FÁS,UNIT 46,UNIT 46,THIRD AVENUE,COOKSTOWN INDUSTRIAL ESTATE,708275.035,728193.257
FULCRUM TRAINING CONSULTANTS,GD HOUSE,GD HOUSE,WHITESTOWN DRIVE,TALLAGHT BUSINESS PARK,707859.064,726706.221
JOHN SISK & SONS LTD.,NULL,WILTON WORKS,ROBINHOOD ROAD,CLONDALKIN,709358.761,731160.51
LORETO DEVELOPMENT,SHALOM,SHALOM,RAHEEN PARK,SPRINGFIELD,707507.35,727402.182
NATIONAL LEARNING NETWORK,UNIT 77,UNIT 77,BROOMHILL ROAD,TALLAGHT,709471.701,728581.287
NATIONAL TRAINING & DEVELOPMENT INSTITUTE,UNIT 77,UNIT 77,BROOMHILL ROAD,TALLAGHT,709471.701,728581.287
NEW HORIZON TRAINING CENTRE,UNIT 44,UNIT 44,BROOMHILL CLOSE,TALLAGHT,709021.118,728448.907
R. E. A. C. H.,SAINT MARY'S CONVENT HOUSE,SAINT MARY'S CONVENT HOUSE,SANCTA MARIA COLLEGE,BALLYROAN CRESCENT,713236.73,727406.911
ROCKBROOK PARK SCHOOL,ROCKBROOK HOUSE,ROCKBROOK HOUSE,ROCKBROOK,DUBLIN 16,713369.755,724911.03
SAINT BASIL'S TRAINING CENTRE,NULL,GREENHILLS ROAD,TALLAGHT,DUBLIN 24,709472.806,727805.504
SOUTH DUBLIN URBAN INITIATIVE,NULL,"UNIT 2, LUKE CULLEN HOUSE",OAKFIELD INDUSTRIAL ESTATE,OAKFIELD,707011.066,731710.754
SUÍFINN,NULL,COOKSTOWN ROAD,COOKSTOWN INDUSTRIAL ESTATE,DUBLIN 24,708380.994,728688.805
SYNERGY CENTRE,NULL,BLESSINGTON ROAD,TALLAGHT,DUBLIN 24,709228.203,727887.957
T.A.C.T.,SAINT DOMINIC'S SCHOOL,SAINT DOMINIC'S SCHOOL,MOUNTAIN PARK,TALLAGHT,709524.51,727440.13
TALLAGHT ADULT EDUCATION SERVICE,TALLAGHT ENTERPRISE CENTRE,TALLAGHT ENTERPRISE CENTRE,MAIN ROAD,TALLAGHT,709886.82,727687.625
TALLAGHT CENTRE FOR THE UNEMPLOYED,NULL,MAIN STREET,TALLAGHT,DUBLIN 24,709198.238,727669.908
TALLAGHT JOBSTOWN ADULT EDUCATION CENTRE,KILTALOWN HOUSE,KILTALOWN HOUSE,BLESSINGTON ROAD,TALLAGHT,706517.522,726222.554
THE EDUCATION CENTRE,ASHFIELD,ASHFIELD,TEMPLEOGUE ROAD,TEMPLEOGUE,712931.235,728816.617
THE GETAHEAD CLUB,BLOCK 1,BLOCK 1,WEAVER COURT,NEILSTOWN ROAD,706624.471,733963.123
THE TOWER PROGRAMME AND YOUTH TRAINING,NULL,SAINT MARK'S LANE,CLONDALKIN,DUBLIN 22,706584.11,734085.94